name,normalizedName,source
dekan,dekan,https://github.com/burhansa25/graph
Dekan fakultas hukum,dekan fakultas hukum,https://github.com/burhansa25/graph
Deputy chief justice,deputy chief justice,https://github.com/burhansa25/graph
Deputy commander,deputy commander,https://github.com/burhansa25/graph
Deputy inspector general,deputy inspector general,https://github.com/burhansa25/graph
Deputy speakers,deputy speakers,https://github.com/burhansa25/graph
Dewan Direksi,dewan direksi,https://github.com/burhansa25/graph
Dewan Kehormatan Penyelenggara Pemilihan Umum,dewan kehormatan penyelenggara pemilihan umum,https://github.com/burhansa25/graph
Director,director,https://github.com/burhansa25/graph
direktur,direktur,https://github.com/burhansa25/graph
Direktur Informasi Perpajakan,direktur informasi perpajakan,https://github.com/burhansa25/graph
"Direktur jenderal pajak,","direktur jenderal pajak,",https://github.com/burhansa25/graph
"Direktur peraturan perpajakan ii, direktorat jenderal pajak,","direktur peraturan perpajakan ii, direktorat jenderal pajak,",https://github.com/burhansa25/graph
direktur utama,direktur utama,https://github.com/burhansa25/graph
Doctor (title),doctor (title),https://github.com/burhansa25/graph
Dosen,dosen,https://github.com/burhansa25/graph
Dr.,dr.,https://github.com/burhansa25/graph
duta besar,duta besar,https://github.com/burhansa25/graph
Duta Besar Indonesia untuk Aljazair,duta besar indonesia untuk aljazair,https://github.com/burhansa25/graph
Duta Besar Indonesia untuk Belanda,duta besar indonesia untuk belanda,https://github.com/burhansa25/graph
Duta Besar Indonesia untuk Britania Raya,duta besar indonesia untuk britania raya,https://github.com/burhansa25/graph
Duta Besar Indonesia untuk Malaysia,duta besar indonesia untuk malaysia,https://github.com/burhansa25/graph
Duta Besar Indonesia untuk Mesir,duta besar indonesia untuk mesir,https://github.com/burhansa25/graph
Duta Besar Indonesia untuk Senegal,duta besar indonesia untuk senegal,https://github.com/burhansa25/graph
Duta Besar Indonesia untuk Singapura,duta besar indonesia untuk singapura,https://github.com/burhansa25/graph
Duta Besar Indonesia untuk Spanyol,duta besar indonesia untuk spanyol,https://github.com/burhansa25/graph
Duta Besar Indonesia untuk Suriah,duta besar indonesia untuk suriah,https://github.com/burhansa25/graph
Duta Besar Indonesia untuk Thailand,duta besar indonesia untuk thailand,https://github.com/burhansa25/graph
Duta Besar Indonesia untuk Vietnam,duta besar indonesia untuk vietnam,https://github.com/burhansa25/graph
Duta Besar Indonesia untuk Yaman,duta besar indonesia untuk yaman,https://github.com/burhansa25/graph
First ladies and gentlemen,first ladies and gentlemen,https://github.com/burhansa25/graph
Flagbearer for,flagbearer for,https://github.com/burhansa25/graph
Football association,football association,https://github.com/burhansa25/graph
For president,for president,https://github.com/burhansa25/graph
For vice president,for vice president,https://github.com/burhansa25/graph
Foreign minister,foreign minister,https://github.com/burhansa25/graph
founder,founder,https://github.com/burhansa25/graph
full professor,full professor,https://github.com/burhansa25/graph
General chairman,general chairman,https://github.com/burhansa25/graph
Gerindra Party nominee,gerindra party nominee,https://github.com/burhansa25/graph
Gianyar Regency,gianyar regency,https://github.com/burhansa25/graph
Governor,governor,https://github.com/burhansa25/graph
Gubernur Akademi Kepolisian,gubernur akademi kepolisian,https://github.com/burhansa25/graph
Gubernur Daerah Khusus Jakarta,gubernur daerah khusus jakarta,https://github.com/burhansa25/graph
Gubernur Gorontalo,gubernur gorontalo,https://github.com/burhansa25/graph
Gubernur Jawa Barat,gubernur jawa barat,https://github.com/burhansa25/graph
Gubernur Sumatera Barat,gubernur sumatera barat,https://github.com/burhansa25/graph
Guess Girl South East Asia 2015,guess girl south east asia 2015,https://github.com/burhansa25/graph
Habib,habib,https://github.com/burhansa25/graph
Hakim,hakim,https://github.com/burhansa25/graph
Hakim Konstitusi Republik Indonesia,hakim konstitusi republik indonesia,https://github.com/burhansa25/graph
Head,head,https://github.com/burhansa25/graph
Indonesian army chief,indonesian army chief,https://github.com/burhansa25/graph
Indonesian army deputy chief,indonesian army deputy chief,https://github.com/burhansa25/graph
Indonesian democratic party,indonesian democratic party,https://github.com/burhansa25/graph
Indonesian Idol runner up,indonesian idol runner up,https://github.com/burhansa25/graph
Indonesian National Armed Forces,indonesian national armed forces,https://github.com/burhansa25/graph
Indonesian navy chief,indonesian navy chief,https://github.com/burhansa25/graph
"Inspektur Jenderal Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi","inspektur jenderal kementerian pendidikan, kebudayaan, riset, dan teknologi",https://github.com/burhansa25/graph
Jaksa Agung Muda Intelijen,jaksa agung muda intelijen,https://github.com/burhansa25/graph
Julia Morley,julia morley,https://github.com/burhansa25/graph
Katib aam,katib aam,https://github.com/burhansa25/graph
Kepala,kepala,https://github.com/burhansa25/graph
Kepala Badan Kebijakan Fiskal,kepala badan kebijakan fiskal,https://github.com/burhansa25/graph
Kepala Bagian Tata Usaha pada Kejaksaan Tinggi DKI Jakarta,kepala bagian tata usaha pada kejaksaan tinggi dki jakarta,https://github.com/burhansa25/graph
"Kepala Kantor Wilayah DJP Kalimantan Timur, Balikpapan","kepala kantor wilayah djp kalimantan timur, balikpapan",https://github.com/burhansa25/graph
Kepala Kanwil DJP Jawa Timur I,kepala kanwil djp jawa timur i,https://github.com/burhansa25/graph
Kepala Kejaksaan Negeri Cilegon,kepala kejaksaan negeri cilegon,https://github.com/burhansa25/graph
Kepala Kejaksaan Negeri Jakarta Barat,kepala kejaksaan negeri jakarta barat,https://github.com/burhansa25/graph
Kepala Kejaksaan Tinggi Banten,kepala kejaksaan tinggi banten,https://github.com/burhansa25/graph
Kepala Kejaksaan Tinggi DKI Jakarta,kepala kejaksaan tinggi dki jakarta,https://github.com/burhansa25/graph
Kepala Kepolisian Daerah Jambi,kepala kepolisian daerah jambi,https://github.com/burhansa25/graph
Kepala Kepolisian Resor Kabupaten Pati,kepala kepolisian resor kabupaten pati,https://github.com/burhansa25/graph
"Kepala Subdirektorat Dampak Kebijakan Direktorat Potensi, Kepatuhan dan Penerimaan","kepala subdirektorat dampak kebijakan direktorat potensi, kepatuhan dan penerimaan",https://github.com/burhansa25/graph
Kepala Subdirektorat Sarana dan Tenaga Penyuluhan Direktorat Penyuluhan Perpajakan,kepala subdirektorat sarana dan tenaga penyuluhan direktorat penyuluhan perpajakan,https://github.com/burhansa25/graph
Ketua,ketua,https://github.com/burhansa25/graph
Kodam III,kodam iii,https://github.com/burhansa25/graph
komisaris,komisaris,https://github.com/burhansa25/graph
Kopassus,kopassus,https://github.com/burhansa25/graph
Leader,leader,https://github.com/burhansa25/graph
List of beauty pageants,list of beauty pageants,https://github.com/burhansa25/graph
List of Miss Indonesia Earth,list of miss indonesia earth,https://github.com/burhansa25/graph
Luisa Andrea Soemitha,luisa andrea soemitha,https://github.com/burhansa25/graph
Majelis wali amanat periode 2019-2024,majelis wali amanat periode 2019-2024,https://github.com/burhansa25/graph
Majelis Wali Amanat Universitas Indonesia Periode 2019-2024,majelis wali amanat universitas indonesia periode 2019-2024,https://github.com/burhansa25/graph
Mayor,mayor,https://github.com/burhansa25/graph
Menteri BUMN,menteri bumn,https://github.com/burhansa25/graph
Menteri Energi dan Sumber Daya Mineral Indonesia,menteri energi dan sumber daya mineral indonesia,https://github.com/burhansa25/graph
Menteri Hukum dan Hak Asasi Manusia Republik Indonesia,menteri hukum dan hak asasi manusia republik indonesia,https://github.com/burhansa25/graph
Menteri Kesehatan Indonesia,menteri kesehatan indonesia,https://github.com/burhansa25/graph
Menteri Keuangan,menteri keuangan,https://github.com/burhansa25/graph
Menteri Koordinator Bidang Politik dan Keamanan,menteri koordinator bidang politik dan keamanan,https://github.com/burhansa25/graph
Menteri Lingkungan Hidup dan Kehutanan Indonesia,menteri lingkungan hidup dan kehutanan indonesia,https://github.com/burhansa25/graph
Menteri Luar Negeri,menteri luar negeri,https://github.com/burhansa25/graph
Menteri Pendayagunaan Aparatur Negara dan Reformasi Birokrasi,menteri pendayagunaan aparatur negara dan reformasi birokrasi,https://github.com/burhansa25/graph
Menteri pendidikan dan kebudayaan,menteri pendidikan dan kebudayaan,https://github.com/burhansa25/graph
Menteri Pendidikan dan Kebudayaan Indonesia,menteri pendidikan dan kebudayaan indonesia,https://github.com/burhansa25/graph
Menteri Pendidikan Dasar dan Kebudayaan Indonesia,menteri pendidikan dasar dan kebudayaan indonesia,https://github.com/burhansa25/graph
Menteri Perencanaan Pembangunan Nasional Indonesia,menteri perencanaan pembangunan nasional indonesia,https://github.com/burhansa25/graph
Menteri Pertahanan,menteri pertahanan,https://github.com/burhansa25/graph
Menteri Riset dan Teknologi,menteri riset dan teknologi,https://github.com/burhansa25/graph
Menteri Sosial Indonesia,menteri sosial indonesia,https://github.com/burhansa25/graph
Minister,minister,https://github.com/burhansa25/graph
Minister for Youth and Sports Affairs,minister for youth and sports affairs,https://github.com/burhansa25/graph
Ministry,ministry,https://github.com/burhansa25/graph
Miss and Mister Supranational,miss and mister supranational,https://github.com/burhansa25/graph
Miss Asia Pacific World,miss asia pacific world,https://github.com/burhansa25/graph
Miss Asia Pacific World 2012,miss asia pacific world 2012,https://github.com/burhansa25/graph
Miss Earth Indonesia,miss earth indonesia,https://github.com/burhansa25/graph
Miss Earth Indonesia 2019,miss earth indonesia 2019,https://github.com/burhansa25/graph
Miss Indonesia,miss indonesia,https://github.com/burhansa25/graph
Miss Indonesia 2010,miss indonesia 2010,https://github.com/burhansa25/graph
Miss Indonesia 2015,miss indonesia 2015,https://github.com/burhansa25/graph
Miss Indonesia 2022,miss indonesia 2022,https://github.com/burhansa25/graph
Miss International,miss international,https://github.com/burhansa25/graph
Miss International 1988,miss international 1988,https://github.com/burhansa25/graph
Miss International 2007,miss international 2007,https://github.com/burhansa25/graph
Miss International 2008,miss international 2008,https://github.com/burhansa25/graph
Miss International 2009,miss international 2009,https://github.com/burhansa25/graph
Miss International 2013,miss international 2013,https://github.com/burhansa25/graph
Miss International 2017,miss international 2017,https://github.com/burhansa25/graph
Miss International 4th Runner-Up,miss international 4th runner-up,https://github.com/burhansa25/graph
Miss International Indonesia 2007,miss international indonesia 2007,https://github.com/burhansa25/graph
Miss International Indonesia 2008,miss international indonesia 2008,https://github.com/burhansa25/graph
Miss International Indonesia 2009,miss international indonesia 2009,https://github.com/burhansa25/graph
Miss International Indonesia 2022,miss international indonesia 2022,https://github.com/burhansa25/graph
Miss Supranational 2016,miss supranational 2016,https://github.com/burhansa25/graph
Miss Supranational Indonesia 2013,miss supranational indonesia 2013,https://github.com/burhansa25/graph
Miss Supranational Indonesia 2014,miss supranational indonesia 2014,https://github.com/burhansa25/graph
Miss Supranational Indonesia 2016,miss supranational indonesia 2016,https://github.com/burhansa25/graph
Miss Supranational Indonesia 2019,miss supranational indonesia 2019,https://github.com/burhansa25/graph
Miss Tourism Indonesia 2021,miss tourism indonesia 2021,https://github.com/burhansa25/graph
Miss Universe 2007,miss universe 2007,https://github.com/burhansa25/graph
Miss Universe Indonesia,miss universe indonesia,https://github.com/burhansa25/graph
Miss Universe Indonesia 1974,miss universe indonesia 1974,https://github.com/burhansa25/graph
Miss Universe Indonesia 1976,miss universe indonesia 1976,https://github.com/burhansa25/graph
Miss Universe Indonesia 1977,miss universe indonesia 1977,https://github.com/burhansa25/graph
Miss Universe Indonesia 1980,miss universe indonesia 1980,https://github.com/burhansa25/graph
Miss Universe Indonesia 2005,miss universe indonesia 2005,https://github.com/burhansa25/graph
Miss Universe Indonesia 2007,miss universe indonesia 2007,https://github.com/burhansa25/graph
Miss Universe Indonesia 2008,miss universe indonesia 2008,https://github.com/burhansa25/graph
Miss Universe Indonesia 2014,miss universe indonesia 2014,https://github.com/burhansa25/graph
Miss Universe Indonesia 2015,miss universe indonesia 2015,https://github.com/burhansa25/graph
Miss Universe Indonesia 2016,miss universe indonesia 2016,https://github.com/burhansa25/graph
Miss Universe Indonesia 2017,miss universe indonesia 2017,https://github.com/burhansa25/graph
Miss Universe Indonesia 2018,miss universe indonesia 2018,https://github.com/burhansa25/graph
Miss Universe Indonesia 2020,miss universe indonesia 2020,https://github.com/burhansa25/graph
Miss World 2015,miss world 2015,https://github.com/burhansa25/graph
Miss world continental queen,miss world continental queen,https://github.com/burhansa25/graph
Nominee for president,nominee for president,https://github.com/burhansa25/graph
Official website,official website,https://github.com/burhansa25/graph
Permanent representative,permanent representative,https://github.com/burhansa25/graph
President,president,https://github.com/burhansa25/graph
Prime minister,prime minister,https://github.com/burhansa25/graph
profesor,profesor,https://github.com/burhansa25/graph
Professor,professor,https://github.com/burhansa25/graph
Puteri Bali,puteri bali,https://github.com/burhansa25/graph
Puteri Bali 2020,puteri bali 2020,https://github.com/burhansa25/graph
Puteri Bangka Belitung,puteri bangka belitung,https://github.com/burhansa25/graph
Puteri Bangka Belitung 2018,puteri bangka belitung 2018,https://github.com/burhansa25/graph
Puteri Banten,puteri banten,https://github.com/burhansa25/graph
Puteri Batik Nusantara 2017,puteri batik nusantara 2017,https://github.com/burhansa25/graph
Puteri Central Java,puteri central java,https://github.com/burhansa25/graph
Puteri East Java,puteri east java,https://github.com/burhansa25/graph
Puteri Gorontalo,puteri gorontalo,https://github.com/burhansa25/graph
Puteri Indonesia,puteri indonesia,https://github.com/burhansa25/graph
Puteri Indonesia 1995,puteri indonesia 1995,https://github.com/burhansa25/graph
Puteri Indonesia 1995(Miss Universe Indonesia 1995),puteri indonesia 1995(miss universe indonesia 1995),https://github.com/burhansa25/graph
Puteri Indonesia 1996-1999,puteri indonesia 1996-1999,https://github.com/burhansa25/graph
Puteri Indonesia 2004,puteri indonesia 2004,https://github.com/burhansa25/graph
Puteri Indonesia 2006,puteri indonesia 2006,https://github.com/burhansa25/graph
Puteri Indonesia 2007,puteri indonesia 2007,https://github.com/burhansa25/graph
Puteri Indonesia 2008,puteri indonesia 2008,https://github.com/burhansa25/graph
Puteri Indonesia 2010,puteri indonesia 2010,https://github.com/burhansa25/graph
Puteri Indonesia 2011,puteri indonesia 2011,https://github.com/burhansa25/graph
Puteri Indonesia 2013,puteri indonesia 2013,https://github.com/burhansa25/graph
Puteri Indonesia 2014,puteri indonesia 2014,https://github.com/burhansa25/graph
Puteri Indonesia 2015,puteri indonesia 2015,https://github.com/burhansa25/graph
Puteri Indonesia 2016,puteri indonesia 2016,https://github.com/burhansa25/graph
Puteri Indonesia 2017,puteri indonesia 2017,https://github.com/burhansa25/graph
Puteri Indonesia 2018,puteri indonesia 2018,https://github.com/burhansa25/graph
Puteri Indonesia 2019,puteri indonesia 2019,https://github.com/burhansa25/graph
Puteri Indonesia 2020,puteri indonesia 2020,https://github.com/burhansa25/graph
Puteri Indonesia D.I. Yogyakarta 2022,puteri indonesia d.i. yogyakarta 2022,https://github.com/burhansa25/graph
Puteri Indonesia Jawa Barat 2017,puteri indonesia jawa barat 2017,https://github.com/burhansa25/graph
Puteri Indonesia Jawa Timur,puteri indonesia jawa timur,https://github.com/burhansa25/graph
Puteri Indonesia Jawa Timur 2020,puteri indonesia jawa timur 2020,https://github.com/burhansa25/graph
Puteri Indonesia Lingkungan,puteri indonesia lingkungan,https://github.com/burhansa25/graph
Puteri Indonesia Lingkungan 2007,puteri indonesia lingkungan 2007,https://github.com/burhansa25/graph
Puteri Indonesia Lingkungan 2008,puteri indonesia lingkungan 2008,https://github.com/burhansa25/graph
Puteri Indonesia Lingkungan 2015,puteri indonesia lingkungan 2015,https://github.com/burhansa25/graph
Puteri Indonesia Lingkungan 2017,puteri indonesia lingkungan 2017,https://github.com/burhansa25/graph
Puteri Indonesia Lingkungan 2020,puteri indonesia lingkungan 2020,https://github.com/burhansa25/graph
Puteri Indonesia Lingkungan 2022,puteri indonesia lingkungan 2022,https://github.com/burhansa25/graph
Puteri Indonesia Pariwisata,puteri indonesia pariwisata,https://github.com/burhansa25/graph
Puteri Indonesia Pariwisata 2006,puteri indonesia pariwisata 2006,https://github.com/burhansa25/graph
Puteri Indonesia Pariwisata 2010,puteri indonesia pariwisata 2010,https://github.com/burhansa25/graph
Puteri Indonesia Pariwisata 2011,puteri indonesia pariwisata 2011,https://github.com/burhansa25/graph
Puteri Indonesia Pariwisata 2014,puteri indonesia pariwisata 2014,https://github.com/burhansa25/graph
Puteri Indonesia Pariwisata 2016,puteri indonesia pariwisata 2016,https://github.com/burhansa25/graph
Puteri Indonesia Pariwisata 2019,puteri indonesia pariwisata 2019,https://github.com/burhansa25/graph
Puteri Indonesia Yogyakarta,puteri indonesia yogyakarta,https://github.com/burhansa25/graph
Puteri Jakarta SCR 1,puteri jakarta scr 1,https://github.com/burhansa25/graph
Puteri Jakarta SCR 5,puteri jakarta scr 5,https://github.com/burhansa25/graph
Puteri Jakarta SCR-5,puteri jakarta scr-5,https://github.com/burhansa25/graph
Puteri Jakarta SCR-5 2022,puteri jakarta scr-5 2022,https://github.com/burhansa25/graph
Puteri Maluku,puteri maluku,https://github.com/burhansa25/graph
Puteri North Sulawesi,puteri north sulawesi,https://github.com/burhansa25/graph
Puteri North Sumatra,puteri north sumatra,https://github.com/burhansa25/graph
Puteri South Sulawesi,puteri south sulawesi,https://github.com/burhansa25/graph
Puteri South Sumatra,puteri south sumatra,https://github.com/burhansa25/graph
Puteri Sulawesi Utara 2016,puteri sulawesi utara 2016,https://github.com/burhansa25/graph
Puteri West Java,puteri west java,https://github.com/burhansa25/graph
Puteri West Sumatra,puteri west sumatra,https://github.com/burhansa25/graph
Puteri Yogyakarta,puteri yogyakarta,https://github.com/burhansa25/graph
Rector,rector,https://github.com/burhansa25/graph
Regent,regent,https://github.com/burhansa25/graph
Rektor,rektor,https://github.com/burhansa25/graph
rektor,rektor,https://github.com/burhansa25/graph
Rektor Institut Teknologi Bandung,rektor institut teknologi bandung,https://github.com/burhansa25/graph
Rektor Universitas Andalas,rektor universitas andalas,https://github.com/burhansa25/graph
Rektor Universitas Baiturrahmah,rektor universitas baiturrahmah,https://github.com/burhansa25/graph
Rektor Universitas Bung Hatta,rektor universitas bung hatta,https://github.com/burhansa25/graph
Rektor Universitas Indonesia,rektor universitas indonesia,https://github.com/burhansa25/graph
Rektor Universitas Islam Negeri Imam Bonjol,rektor universitas islam negeri imam bonjol,https://github.com/burhansa25/graph
Rektor Universitas Negeri Padang,rektor universitas negeri padang,https://github.com/burhansa25/graph
Second ladies and gentlemen,second ladies and gentlemen,https://github.com/burhansa25/graph
Secretary general,secretary general,https://github.com/burhansa25/graph
Secretary-general,secretary-general,https://github.com/burhansa25/graph
Sekretaris Daerah Provinsi Jawa Barat,sekretaris daerah provinsi jawa barat,https://github.com/burhansa25/graph
Senator for East Java,senator for east java,https://github.com/burhansa25/graph
Siliwangi,siliwangi,https://github.com/burhansa25/graph
Speaker,speaker,https://github.com/burhansa25/graph
Speakers,speakers,https://github.com/burhansa25/graph
State minister,state minister,https://github.com/burhansa25/graph
Supermodel International 2011,supermodel international 2011,https://github.com/burhansa25/graph
Tenaga Pengkaji Bidang Pelayanan Perpajakan Direktorat Jenderal Pajak,tenaga pengkaji bidang pelayanan perpajakan direktorat jenderal pajak,https://github.com/burhansa25/graph
Tenaga Pengkaji Bidang Pengawasan dan Penegakan Hukum Perpajakan,tenaga pengkaji bidang pengawasan dan penegakan hukum perpajakan,https://github.com/burhansa25/graph
Tenaga Pengkaji Bidang Pengawasan dan Penegakan Hukum Perpajakan Direktorat Jenderal Pajak,tenaga pengkaji bidang pengawasan dan penegakan hukum perpajakan direktorat jenderal pajak,https://github.com/burhansa25/graph
UNICEF Goodwill Ambassador,unicef goodwill ambassador,https://github.com/burhansa25/graph
United states,united states,https://github.com/burhansa25/graph
Vice chief,vice chief,https://github.com/burhansa25/graph
Vice governor,vice governor,https://github.com/burhansa25/graph
Vice president,vice president,https://github.com/burhansa25/graph
Vice regents,vice regents,https://github.com/burhansa25/graph
Wakil Gubernur Daerah Khusus Jakarta,wakil gubernur daerah khusus jakarta,https://github.com/burhansa25/graph
Wakil Menteri Dalam Negeri Indonesia,wakil menteri dalam negeri indonesia,https://github.com/burhansa25/graph
"Wakil Menteri Pendidikan, Kebudayaan, Riset, dan Teknologi","wakil menteri pendidikan, kebudayaan, riset, dan teknologi",https://github.com/burhansa25/graph
wakil rektor,wakil rektor,https://github.com/burhansa25/graph
Wali kota,wali kota,https://github.com/burhansa25/graph
Wali Kota Bandung,wali kota bandung,https://github.com/burhansa25/graph
Wali Kota Sawahlunto,wali kota sawahlunto,https://github.com/burhansa25/graph
Wali Kota Surabaya,wali kota surabaya,https://github.com/burhansa25/graph
"Wawancara Karlina Leksono: ""Kita Sudah Terlalu Lama Diam""","wawancara karlina leksono: ""kita sudah terlalu lama diam""",https://github.com/burhansa25/graph
