univLabel,alumniLabel,occupationLabel,employerLabel,positionLabel,wiki,alumniId,alumniNormalizedName,universityNormalizedName
Brawijaya University,Adalgisa Ximenes,,,,,alumni-ac858a6b6f5e,adalgisa ximenes,brawijaya university
Alauddin Islamic State University,Adam Rahayaan,,,,,alumni-00a4de90ddae,adam rahayaan,alauddin islamic state university
Institut Teknologi Bandung,Adang Surahman,akademisi,Institut Teknologi Bandung,Rektor,,alumni-3542d9dc80be,adang surahman,institut teknologi bandung
Institut Teknologi Bandung,Adang Surahman,lektor,Institut Teknologi Bandung,Rektor,,alumni-3542d9dc80be,adang surahman,institut teknologi bandung
Institut Teknologi Bandung,Adang Surahman,pegawai negeri sipil,Institut Teknologi Bandung,Rektor,,alumni-3542d9dc80be,adang surahman,institut teknologi bandung
IPB University,Adhyaksa Dault,,,,,alumni-746e540e62b2,adhyaksa dault,ipb university
Trisakti University,Adhyaksa Dault,,,,,alumni-d4a0cec46a9c,adhyaksa dault,trisakti university
Mulawarman University,Adi Darma,,,,,alumni-967d6b70ebf0,adi darma,mulawarman university
Universitas Gadjah Mada,Adi Utarini,,,,,alumni-c41f15068d7b,adi utarini,universitas gadjah mada
Universitas Gadjah Mada,Adrianus Mooy,,,Bank Indonesia,,alumni-7c261c6e1d40,adrianus mooy,universitas gadjah mada
Universitas Gadjah Mada,Adrianus Mooy,,Indonesia To Belgium,Ambassador,,alumni-7c261c6e1d40,adrianus mooy,universitas gadjah mada
Syiah Kuala University,Afdhal Khalilullah,,,,,alumni-0803dcaa1add,afdhal khalilullah,syiah kuala university
BINUS University,Agni Pratistha,,,Puteri Indonesia,,alumni-1044c2227a7f,agni pratistha,binus university
BINUS University,Agni Pratistha,,,Miss Universe 2007,,alumni-1044c2227a7f,agni pratistha,binus university
BINUS University,Agni Pratistha,,,Puteri Central Java,,alumni-1044c2227a7f,agni pratistha,binus university
BINUS University,Agni Pratistha,,,Puteri Indonesia 2006,,alumni-1044c2227a7f,agni pratistha,binus university
BINUS University,Agni Pratistha,,,Miss Universe Indonesia 2007,,alumni-1044c2227a7f,agni pratistha,binus university
Indonesian Military Academy,Agum Gumelar,,,Chairman ad interim Indonesian Football Association,,alumni-95edb628aee3,agum gumelar,indonesian military academy
Indonesian Military Academy,Agum Gumelar,,,Coordinating Ministry for Political and Security Affairs,,alumni-95edb628aee3,agum gumelar,indonesian military academy
Indonesian Military Academy,Agum Gumelar,,Defense (Indonesia),Minister,,alumni-95edb628aee3,agum gumelar,indonesian military academy
Indonesian Military Academy,Agum Gumelar,,Indonesian Football Association,Chairman,,alumni-95edb628aee3,agum gumelar,indonesian military academy
Indonesian Military Academy,Agum Gumelar,,National Sports Committee Of Indonesia,Chairman,,alumni-95edb628aee3,agum gumelar,indonesian military academy
Indonesian Military Academy,Agum Gumelar,,Transportation (Indonesia),Ministry,,alumni-95edb628aee3,agum gumelar,indonesian military academy
Universitas Padjadjaran,Agung Afif,pengusaha,Juara Holding Group,direktur utama,,alumni-d46922f146a1,agung afif,universitas padjadjaran
Universitas Gadjah Mada,Agung Cahaya Sumirat,,,,,alumni-e11958ec3962,agung cahaya sumirat,universitas gadjah mada
Christian University of Indonesia,Agung Laksono,,,Coordinating Ministry for Human Development and Cultural Affairs,,alumni-39ee0c8c42e5,agung laksono,christian university of indonesia
Christian University of Indonesia,Agung Laksono,Politician,,Coordinating Ministry for Human Development and Cultural Affairs,,alumni-39ee0c8c42e5,agung laksono,christian university of indonesia
Christian University of Indonesia,Agung Laksono,businessman,,Coordinating Ministry for Human Development and Cultural Affairs,,alumni-39ee0c8c42e5,agung laksono,christian university of indonesia
Christian University of Indonesia,Agung Laksono,,House Of Representatives (Indonesia),Speaker,,alumni-39ee0c8c42e5,agung laksono,christian university of indonesia
Christian University of Indonesia,Agung Laksono,Politician,House Of Representatives (Indonesia),Speaker,,alumni-39ee0c8c42e5,agung laksono,christian university of indonesia
Christian University of Indonesia,Agung Laksono,businessman,House Of Representatives (Indonesia),Speaker,,alumni-39ee0c8c42e5,agung laksono,christian university of indonesia
Universitas Brawijaya,Agus Hermanto,lektor,Universitas Negeri Semarang,anggota DPR-RI,,alumni-8fc6f4c23b89,agus hermanto,universitas brawijaya
Universitas Brawijaya,Agus Hermanto,politikus,Universitas Negeri Semarang,anggota DPR-RI,,alumni-8fc6f4c23b89,agus hermanto,universitas brawijaya
Universitas Brawijaya,Agus Hermanto,lektor,Universitas Negeri Semarang,anggota Dewan Perwakilan Rakyat Daerah Indonesia,,alumni-8fc6f4c23b89,agus hermanto,universitas brawijaya
Universitas Brawijaya,Agus Hermanto,politikus,Universitas Negeri Semarang,anggota Dewan Perwakilan Rakyat Daerah Indonesia,,alumni-8fc6f4c23b89,agus hermanto,universitas brawijaya
Indonesian Military Academy,Agus Isrok Mikroj,,,,,alumni-80e1a2910d83,agus isrok mikroj,indonesian military academy
Indonesian Military Academy,Agus Subiyanto,,,Kodam III/Siliwangi,,alumni-5a166138daa0,agus subiyanto,indonesian military academy
Indonesian Military Academy,Agus Subiyanto,,Indonesian National Armed Forces,Commander,,alumni-5a166138daa0,agus subiyanto,indonesian military academy
Indonesian Military Academy,Agus Subiyanto,,Staff Of The Indonesian Army,Chief,,alumni-5a166138daa0,agus subiyanto,indonesian military academy
Indonesian Military Academy,Agus Subiyanto,,Staff Of The Indonesian Army,Vice chief,,alumni-5a166138daa0,agus subiyanto,indonesian military academy
Indonesian Naval Academy,Agus Suhartono,,,Indonesian National Armed Forces,,alumni-c5f05b6d63c0,agus suhartono,indonesian naval academy
Indonesian Naval Academy,Agus Suhartono,,Staff,Indonesian navy chief,,alumni-c5f05b6d63c0,agus suhartono,indonesian naval academy
Tadulako University,Ahmad Ali (Indonesian politician),,,,,alumni-1db36566fcbf,ahmad ali (indonesian politician),tadulako university
Indonesian State College of Accountancy,Ahmad Syaikhu,,,,,alumni-389e461e2b5e,ahmad syaikhu,indonesian state college of accountancy
Sekolah Tinggi Akuntansi Negara,Ahmad Syaikhu,politikus,Badan Pengawasan Keuangan dan Pembangunan,anggota DPR-RI,https://en.wikipedia.org/wiki/Ahmad_Syaikhu,alumni-ca8c4caeb4e8,ahmad syaikhu,sekolah tinggi akuntansi negara
Bandung Islamic University,Ahmad Taufik,,,,,alumni-fdc83d3ffb32,ahmad taufik,bandung islamic university
Bandung Islamic University,Ahmad Taufik,Journalist,,,,alumni-fdc83d3ffb32,ahmad taufik,bandung islamic university
Universitas Gadjah Mada,Ahmad Wahib,,,,,alumni-221807c147a8,ahmad wahib,universitas gadjah mada
Universitas Gadjah Mada,Ahmad Wahib,journalist,,,,alumni-221807c147a8,ahmad wahib,universitas gadjah mada
Parahyangan Catholic University,Airin Rachmi Diany,,,,,alumni-e8a21fe34b18,airin rachmi diany,parahyangan catholic university
Institut Teknologi Bandung,Akhmaloka,akademisi,Institut Teknologi Bandung,Rektor,,alumni-c2a6a512739c,akhmaloka,institut teknologi bandung
Institut Teknologi Bandung,Akhmaloka,lektor,Institut Teknologi Bandung,Rektor,,alumni-c2a6a512739c,akhmaloka,institut teknologi bandung
Institut Teknologi Bandung,Akhmaloka,pegawai negeri sipil,Institut Teknologi Bandung,Rektor,,alumni-c2a6a512739c,akhmaloka,institut teknologi bandung
Christian University of Indonesia,Albert Hasibuan,"Lawyer, Politician",,,,alumni-3bbbed602386,albert hasibuan,christian university of indonesia
Universitas Gadjah Mada,Albert Hasibuan,"Lawyer, Politician",,,,alumni-eca7029bca94,albert hasibuan,universitas gadjah mada
Institut Teknologi Bandung,Alessandra Usman,,,Puteri Indonesia,,alumni-e6674530e4f3,alessandra usman,institut teknologi bandung
Institut Teknologi Bandung,Alessandra Usman,,,Puteri Gorontalo,,alumni-e6674530e4f3,alessandra usman,institut teknologi bandung
Institut Teknologi Bandung,Alessandra Usman,,,Puteri Indonesia 2010,,alumni-e6674530e4f3,alessandra usman,institut teknologi bandung
Institut Teknologi Bandung,Alessandra Usman,,,Puteri Indonesia Pariwisata 2010,,alumni-e6674530e4f3,alessandra usman,institut teknologi bandung
Syarif Hidayatullah State Islamic University Jakarta,Ali Alwi,Ulama,,Habib,,alumni-98c3872ad4f4,ali alwi,syarif hidayatullah state islamic university jakarta
Syarif Hidayatullah State Islamic University Jakarta,Ali Alwi,Da'i,,Habib,,alumni-98c3872ad4f4,ali alwi,syarif hidayatullah state islamic university jakarta
Syarif Hidayatullah State Islamic University Jakarta,Ali Alwi,,,Habib,,alumni-98c3872ad4f4,ali alwi,syarif hidayatullah state islamic university jakarta
Syarif Hidayatullah State Islamic University Jakarta,Ali Alwi,"Politician, da'i, islamic scholar",,Habib,,alumni-98c3872ad4f4,ali alwi,syarif hidayatullah state islamic university jakarta
Hasanuddin University,Ali Baal Masdar,Politician,,,,alumni-25e2467e2206,ali baal masdar,hasanuddin university
Syiah Kuala University,Ali Basrah,Politician,,,,alumni-9a45321c8f6f,ali basrah,syiah kuala university
Indonesia Institute of the Arts Yogyakarta,Ali Shahab,,,,,alumni-34343ab2816f,ali shahab,indonesia institute of the arts yogyakarta
Indonesia Institute of the Arts Yogyakarta,Ali Shahab,Film director,,,,alumni-34343ab2816f,ali shahab,indonesia institute of the arts yogyakarta
Indonesia Institute of the Arts Yogyakarta,Ali Shahab,novelist,,,,alumni-34343ab2816f,ali shahab,indonesia institute of the arts yogyakarta
Indonesia Institute of the Arts Yogyakarta,Ali Shahab,screenwriter,,,,alumni-34343ab2816f,ali shahab,indonesia institute of the arts yogyakarta
Indonesia Institute of the Arts Yogyakarta,Ali Shahab,journalist,,,,alumni-34343ab2816f,ali shahab,indonesia institute of the arts yogyakarta
Tarumanagara University,Ali Taher,,,,,alumni-8d11dcfe7d4c,ali taher,tarumanagara university
Diponegoro University,Alvin Lie,,,,,alumni-4be42a0b6adb,alvin lie,diponegoro university
Trisakti University,Alya Rohali,,,Puteri Indonesia,,alumni-356b83fb34d5,alya rohali,trisakti university
Trisakti University,Alya Rohali,,,Puteri Jakarta SCR 1,,alumni-356b83fb34d5,alya rohali,trisakti university
Trisakti University,Alya Rohali,,,Puteri Indonesia 1996-1999,,alumni-356b83fb34d5,alya rohali,trisakti university
Syarif Hidayatullah State Islamic University Jakarta,Amany Lubis,Rector (academia),Syarif Hidayatullah State Islamic University Jakarta,Rector,,alumni-27675cd05ce1,amany lubis,syarif hidayatullah state islamic university jakarta
Syarif Hidayatullah State Islamic University Jakarta,Amany Lubis,Rector of Syarif Hidayatullah State Islamic University Jakarta,Syarif Hidayatullah State Islamic University Jakarta,Rector,,alumni-27675cd05ce1,amany lubis,syarif hidayatullah state islamic university jakarta
Indonesian Naval Academy,Amarulla Octavian,,,,,alumni-81394c265ea2,amarulla octavian,indonesian naval academy
Indonesian Military Academy,Amin Syam,Military officer,,,,alumni-97a3ef13ce10,amin syam,indonesian military academy
Universitas Medan Area,Amir Hamzah,pegawai negeri sipil,Pemerintah Kota Binjai,Wali kota,,alumni-a075508ceb4d,amir hamzah,universitas medan area
Universitas Medan Area,Amir Hamzah,politikus,Pemerintah Kota Binjai,Wali kota,,alumni-a075508ceb4d,amir hamzah,universitas medan area
Indonesian Military Academy,Amir Machmud,,House Of Representatives (Indonesia),Speaker,,alumni-6973bc228282,amir machmud,indonesian military academy
Indonesian Military Academy,Amir Machmud,Politician,House Of Representatives (Indonesia),Speaker,,alumni-6973bc228282,amir machmud,indonesian military academy
Indonesian Military Academy,Amir Machmud,army officer,House Of Representatives (Indonesia),Speaker,,alumni-6973bc228282,amir machmud,indonesian military academy
Indonesian Military Academy,Amir Machmud,,People'S Consultative Assembly,Speakers,,alumni-6973bc228282,amir machmud,indonesian military academy
Indonesian Military Academy,Amir Machmud,Politician,People'S Consultative Assembly,Speakers,,alumni-6973bc228282,amir machmud,indonesian military academy
Indonesian Military Academy,Amir Machmud,army officer,People'S Consultative Assembly,Speakers,,alumni-6973bc228282,amir machmud,indonesian military academy
Hasanuddin University,Amran Sulaiman,,,,,alumni-73ead9d246cd,amran sulaiman,hasanuddin university
University of North Sumatra,Amru Daulay,,,,,alumni-a90ee5bebe95,amru daulay,university of north sumatra
Universitas Trisakti,Anang Iskandar,petugas polisi,Kepolisian Negara Republik Indonesia,Gubernur Akademi Kepolisian,https://en.wikipedia.org/wiki/Anang_Iskandar,alumni-c7d0ebc0cc7d,anang iskandar,universitas trisakti
Universitas Trisakti,Anang Iskandar,politikus,Kepolisian Negara Republik Indonesia,Gubernur Akademi Kepolisian,https://en.wikipedia.org/wiki/Anang_Iskandar,alumni-c7d0ebc0cc7d,anang iskandar,universitas trisakti
Universitas Trisakti,Anang Iskandar,petugas polisi,Kepolisian Negara Republik Indonesia,Kepala Kepolisian Daerah Jambi,https://en.wikipedia.org/wiki/Anang_Iskandar,alumni-c7d0ebc0cc7d,anang iskandar,universitas trisakti
Universitas Trisakti,Anang Iskandar,politikus,Kepolisian Negara Republik Indonesia,Kepala Kepolisian Daerah Jambi,https://en.wikipedia.org/wiki/Anang_Iskandar,alumni-c7d0ebc0cc7d,anang iskandar,universitas trisakti
National University (Indonesia),Andhika Chrisnayudhanto,,,,,alumni-de62e7319cb0,andhika chrisnayudhanto,national university (indonesia)
Mulawarman University,Andi Harun,,,,,alumni-070fccccad1d,andi harun,mulawarman university
Sunan Kalijaga State Islamic University,Andi Rasdiyanah Amir,,,,,alumni-11a7246d6f94,andi rasdiyanah amir,sunan kalijaga state islamic university
Indonesian Military Academy,Andi Sumangerukka,,,,,alumni-6359e438b046,andi sumangerukka,indonesian military academy
Swiss German University,Andi Tenri Natassa,,,Puteri Indonesia,,alumni-441421be210d,andi tenri natassa,swiss german university
Swiss German University,Andi Tenri Natassa,actress,,Puteri Indonesia,,alumni-441421be210d,andi tenri natassa,swiss german university
Swiss German University,Andi Tenri Natassa,Model,,Puteri Indonesia,,alumni-441421be210d,andi tenri natassa,swiss german university
Swiss German University,Andi Tenri Natassa,TV presenter,,Puteri Indonesia,,alumni-441421be210d,andi tenri natassa,swiss german university
Swiss German University,Andi Tenri Natassa,beauty pageant titleholder,,Puteri Indonesia,,alumni-441421be210d,andi tenri natassa,swiss german university
Swiss German University,Andi Tenri Natassa,,,Puteri Indonesia 2011,,alumni-441421be210d,andi tenri natassa,swiss german university
Swiss German University,Andi Tenri Natassa,actress,,Puteri Indonesia 2011,,alumni-441421be210d,andi tenri natassa,swiss german university
Swiss German University,Andi Tenri Natassa,Model,,Puteri Indonesia 2011,,alumni-441421be210d,andi tenri natassa,swiss german university
Swiss German University,Andi Tenri Natassa,TV presenter,,Puteri Indonesia 2011,,alumni-441421be210d,andi tenri natassa,swiss german university
Swiss German University,Andi Tenri Natassa,beauty pageant titleholder,,Puteri Indonesia 2011,,alumni-441421be210d,andi tenri natassa,swiss german university
Swiss German University,Andi Tenri Natassa,,,Puteri South Sulawesi,,alumni-441421be210d,andi tenri natassa,swiss german university
Swiss German University,Andi Tenri Natassa,actress,,Puteri South Sulawesi,,alumni-441421be210d,andi tenri natassa,swiss german university
Swiss German University,Andi Tenri Natassa,Model,,Puteri South Sulawesi,,alumni-441421be210d,andi tenri natassa,swiss german university
Swiss German University,Andi Tenri Natassa,TV presenter,,Puteri South Sulawesi,,alumni-441421be210d,andi tenri natassa,swiss german university
Swiss German University,Andi Tenri Natassa,beauty pageant titleholder,,Puteri South Sulawesi,,alumni-441421be210d,andi tenri natassa,swiss german university
Swiss German University,Andi Tenri Natassa,,,Miss Asia Pacific World,,alumni-441421be210d,andi tenri natassa,swiss german university
Swiss German University,Andi Tenri Natassa,actress,,Miss Asia Pacific World,,alumni-441421be210d,andi tenri natassa,swiss german university
Swiss German University,Andi Tenri Natassa,Model,,Miss Asia Pacific World,,alumni-441421be210d,andi tenri natassa,swiss german university
Swiss German University,Andi Tenri Natassa,TV presenter,,Miss Asia Pacific World,,alumni-441421be210d,andi tenri natassa,swiss german university
Swiss German University,Andi Tenri Natassa,beauty pageant titleholder,,Miss Asia Pacific World,,alumni-441421be210d,andi tenri natassa,swiss german university
Swiss German University,Andi Tenri Natassa,,,Miss Asia Pacific World 2012,,alumni-441421be210d,andi tenri natassa,swiss german university
Swiss German University,Andi Tenri Natassa,actress,,Miss Asia Pacific World 2012,,alumni-441421be210d,andi tenri natassa,swiss german university
Swiss German University,Andi Tenri Natassa,Model,,Miss Asia Pacific World 2012,,alumni-441421be210d,andi tenri natassa,swiss german university
Swiss German University,Andi Tenri Natassa,TV presenter,,Miss Asia Pacific World 2012,,alumni-441421be210d,andi tenri natassa,swiss german university
Swiss German University,Andi Tenri Natassa,beauty pageant titleholder,,Miss Asia Pacific World 2012,,alumni-441421be210d,andi tenri natassa,swiss german university
Swiss German University,Andi Tenri Natassa,,,Puteri Indonesia Pariwisata 2011,,alumni-441421be210d,andi tenri natassa,swiss german university
Swiss German University,Andi Tenri Natassa,actress,,Puteri Indonesia Pariwisata 2011,,alumni-441421be210d,andi tenri natassa,swiss german university
Swiss German University,Andi Tenri Natassa,Model,,Puteri Indonesia Pariwisata 2011,,alumni-441421be210d,andi tenri natassa,swiss german university
Swiss German University,Andi Tenri Natassa,TV presenter,,Puteri Indonesia Pariwisata 2011,,alumni-441421be210d,andi tenri natassa,swiss german university
Swiss German University,Andi Tenri Natassa,beauty pageant titleholder,,Puteri Indonesia Pariwisata 2011,,alumni-441421be210d,andi tenri natassa,swiss german university
Trisakti University,Andreano Erwin,,,,,alumni-7929bf36dfb1,andreano erwin,trisakti university
Diponegoro University,Anindya Kusuma Putri,,,Puteri Indonesia,,alumni-27e5e7188911,anindya kusuma putri,diponegoro university
Diponegoro University,Anindya Kusuma Putri,,,Puteri Central Java,,alumni-27e5e7188911,anindya kusuma putri,diponegoro university
Diponegoro University,Anindya Kusuma Putri,,,Puteri Indonesia 2015,,alumni-27e5e7188911,anindya kusuma putri,diponegoro university
Diponegoro University,Anindya Kusuma Putri,,,Miss Universe Indonesia 2015,,alumni-27e5e7188911,anindya kusuma putri,diponegoro university
Parahyangan Catholic University,Anita Lidya Luhulima,,,,,alumni-b97405dc7019,anita lidya luhulima,parahyangan catholic university
University of Riau,Ansar Ahmad (Indonesian politician),,,,,alumni-f1c0d8562c5a,ansar ahmad (indonesian politician),university of riau
Sriwijaya University,Antasari Azhar,,,,,alumni-a3b7a0a3e1b7,antasari azhar,sriwijaya university
Diponegoro University,Apolo Safanpo,,,,,alumni-221066e00cde,apolo safanpo,diponegoro university
Sebelas Maret University,Apolo Safanpo,,,,,alumni-4b4407c3e291,apolo safanpo,sebelas maret university
Institut Teknologi Sepuluh Nopember,Apolo Safanpo,,,,,alumni-acca4a06e3e2,apolo safanpo,institut teknologi sepuluh nopember
Universitas Syiah Kuala,Apridar,dosen,Universitas Syiah Kuala,rektor,,alumni-77df7da3a911,apridar,universitas syiah kuala
Universitas Syiah Kuala,Apridar,pegawai negeri sipil,Universitas Syiah Kuala,rektor,,alumni-77df7da3a911,apridar,universitas syiah kuala
Universitas Syiah Kuala,Apridar,dosen,Universitas Syiah Kuala,profesor,,alumni-77df7da3a911,apridar,universitas syiah kuala
Universitas Syiah Kuala,Apridar,pegawai negeri sipil,Universitas Syiah Kuala,profesor,,alumni-77df7da3a911,apridar,universitas syiah kuala
Institut Teknologi Bandung,Arcandra Tahar,,,,,alumni-3b5bc4345882,arcandra tahar,institut teknologi bandung
Airlangga University,Ardi Hermawan,,,,,alumni-4076e955ac3a,ardi hermawan,airlangga university
Universitas Indonesia,Ari Kuncoro,pegawai negeri sipil,Universitas Indonesia,Rektor,https://en.wikipedia.org/wiki/Ari_Kuncoro,alumni-5038bcac7dd7,ari kuncoro,universitas indonesia
Universitas Indonesia,Ari Kuncoro,pegawai negeri sipil,Universitas Indonesia,Majelis wali amanat periode 2019-2024,https://en.wikipedia.org/wiki/Ari_Kuncoro,alumni-5038bcac7dd7,ari kuncoro,universitas indonesia
Airlangga University,Ari Lasso,,,,,alumni-10df1ff63523,ari lasso,airlangga university
