alumniId,positionName
alumni-5682d1c63a5a,"Inspektur Jenderal Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi"
alumni-5682d1c63a5a,Rektor
alumni-5682d1c63a5a,Rektor Universitas Andalas
alumni-5682d1c63a5a,Rektor Universitas Baiturrahmah
alumni-5682d1c63a5a,"Wakil Menteri Pendidikan, Kebudayaan, Riset, dan Teknologi"
alumni-573f3614e4bb,Miss Indonesia
alumni-573f3614e4bb,Miss Indonesia 2010
alumni-583fa6992dcf,Hakim
alumni-5909f0fabfd5,Rektor
alumni-5a166138daa0,Chief
alumni-5a166138daa0,Commander
alumni-5a166138daa0,Kodam III
alumni-5a166138daa0,Siliwangi
alumni-5a166138daa0,Vice chief
alumni-5a6dab7870f6,Advisors to the office
alumni-5afbc612f65d,Direktur Informasi Perpajakan
alumni-5afbc612f65d,"Direktur jenderal pajak,"
alumni-5afbc612f65d,"Kepala Kantor Wilayah DJP Kalimantan Timur, Balikpapan"
alumni-5afbc612f65d,Kepala Kanwil DJP Jawa Timur I
alumni-5dfe3bcdfeda,Kepala
alumni-5dfe3bcdfeda,Kepala Kepolisian Resor Kabupaten Pati
alumni-5e3a66c38ce3,Wakil Gubernur Daerah Khusus Jakarta
alumni-5e3a66c38ce3,rektor
alumni-6072b8d47317,First ladies and gentlemen
alumni-613d6b2bd991,wakil rektor
alumni-6146c837c907,Miss Universe Indonesia
alumni-6146c837c907,Miss Universe Indonesia 1980
alumni-629d9b3dbfd3,Official website
alumni-677bb66c6250,Governor
alumni-677bb66c6250,Minister
alumni-68940acdfb5b,Puteri Indonesia
alumni-68940acdfb5b,Puteri Indonesia 2015
alumni-68940acdfb5b,Puteri Indonesia Lingkungan 2015
alumni-68940acdfb5b,Puteri South Sumatra
alumni-6973bc228282,Speaker
alumni-6973bc228282,Speakers
alumni-6abfbd995d8c,Dosen
alumni-6b2283119dec,Governor
alumni-6bbca77ad86e,Miss and Mister Supranational
alumni-6bbca77ad86e,Puteri Indonesia
alumni-6bbca77ad86e,Puteri Indonesia Jawa Timur
alumni-6d2b2c4afd8f,Chief
alumni-6d2b2c4afd8f,Commander
alumni-6d2b2c4afd8f,Coordinating Ministry for Political and Security Affairs
alumni-6e04bf722b01,President
alumni-6e04bf722b01,Prime minister
alumni-6e04bf722b01,United states
alumni-6fa17fe853ae,Governor
alumni-6fca27732fd5,Gubernur Sumatera Barat
alumni-6fca27732fd5,anggota DPR-RI
alumni-707c31dfd809,Duta Besar Indonesia untuk Aljazair
alumni-707c31dfd809,Duta Besar Indonesia untuk Spanyol
alumni-7219889d1bbd,Dosen
alumni-73138b576f5b,Miss International 2008
alumni-73138b576f5b,Miss International Indonesia 2008
alumni-73138b576f5b,Puteri Indonesia
alumni-73138b576f5b,Puteri Indonesia 2007
alumni-73138b576f5b,Puteri Indonesia Lingkungan 2007
alumni-73138b576f5b,Puteri North Sumatra
alumni-7338650d6c20,Rektor
alumni-7338650d6c20,Rektor Institut Teknologi Bandung
alumni-73443a68de90,"Inspektur Jenderal Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi"
alumni-73443a68de90,Rektor
alumni-73443a68de90,Rektor Universitas Andalas
alumni-73443a68de90,Rektor Universitas Baiturrahmah
alumni-73443a68de90,"Wakil Menteri Pendidikan, Kebudayaan, Riset, dan Teknologi"
alumni-74490dd774b0,Advisors to the office
alumni-74490dd774b0,Menteri Energi dan Sumber Daya Mineral Indonesia
alumni-74efe376407a,Dekan fakultas hukum
alumni-755e1d809871,Governor
alumni-755e1d809871,Minister
alumni-75dfa25662a5,Dekan fakultas hukum
alumni-75ee6316de59,anggota DPR-RI
alumni-75ee6316de59,anggota Dewan Perwakilan Rakyat Daerah Indonesia
alumni-764e3259ce70,Miss Universe Indonesia 2014
alumni-764e3259ce70,Puteri East Java
alumni-764e3259ce70,Puteri Indonesia
alumni-764e3259ce70,Puteri Indonesia 2014
alumni-77df7da3a911,profesor
alumni-77df7da3a911,rektor
alumni-792ff3f54219,Governor
alumni-7bc5e33dd0ad,Miss Universe Indonesia 2020
alumni-7bc5e33dd0ad,Puteri East Java
alumni-7bc5e33dd0ad,Puteri Indonesia
alumni-7bc5e33dd0ad,Puteri Indonesia 2020
alumni-7bc5e33dd0ad,Puteri Indonesia Jawa Timur 2020
alumni-7c261c6e1d40,Ambassador
alumni-7c261c6e1d40,Bank Indonesia
alumni-7e4f412b1131,"Inspektur Jenderal Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi"
alumni-7e4f412b1131,Rektor
alumni-7e4f412b1131,Rektor Universitas Andalas
alumni-7e4f412b1131,Rektor Universitas Baiturrahmah
alumni-7e4f412b1131,"Wakil Menteri Pendidikan, Kebudayaan, Riset, dan Teknologi"
alumni-7ed438a4eecd,Miss International
alumni-7ed438a4eecd,Miss International 1988
alumni-7ed438a4eecd,Miss International 2007
alumni-7ed438a4eecd,Miss International Indonesia 2007
alumni-7ed438a4eecd,Puteri Indonesia
alumni-7ed438a4eecd,Puteri Indonesia Pariwisata
alumni-7ed438a4eecd,Puteri Indonesia Pariwisata 2006
alumni-7ed438a4eecd,Puteri Jakarta SCR 5
alumni-827c5e85cc13,Chairman
alumni-843293c26d6f,Dewan Kehormatan Penyelenggara Pemilihan Umum
alumni-84959788b4fd,Duta Besar Indonesia untuk Suriah
alumni-84959788b4fd,Duta Besar Indonesia untuk Yaman
alumni-84e79951619d,Rektor
alumni-8510f2023099,President
alumni-85f982d9ae72,(Puteri Indonesia Pariwisata)
alumni-85f982d9ae72,Miss Supranational Indonesia 2013
alumni-85f982d9ae72,Miss and Mister Supranational
alumni-85f982d9ae72,Puteri Bali
alumni-85f982d9ae72,Puteri Indonesia
alumni-85f982d9ae72,Puteri Indonesia 2013
alumni-85fd64312ded,Chief
alumni-8612014e915d,Dosen
alumni-8612014e915d,profesor
alumni-876de6d2e687,Bruna Zanardo
alumni-876de6d2e687,Miss International
alumni-876de6d2e687,Miss International 1988
alumni-876de6d2e687,Miss International 2017
alumni-876de6d2e687,Puteri Indonesia
alumni-876de6d2e687,Puteri Indonesia Jawa Barat 2017
alumni-876de6d2e687,Puteri Indonesia Lingkungan
alumni-876de6d2e687,Puteri Indonesia Lingkungan 2017
alumni-876de6d2e687,Puteri West Java
alumni-88f8e640fec9,Rektor
alumni-88f8e640fec9,Rektor Universitas Indonesia
alumni-896fac65e0d5,"Direktur peraturan perpajakan ii, direktorat jenderal pajak,"
alumni-896fac65e0d5,"Kepala Subdirektorat Dampak Kebijakan Direktorat Potensi, Kepatuhan dan Penerimaan"
alumni-896fac65e0d5,Kepala Subdirektorat Sarana dan Tenaga Penyuluhan Direktorat Penyuluhan Perpajakan
alumni-896fac65e0d5,Tenaga Pengkaji Bidang Pelayanan Perpajakan Direktorat Jenderal Pajak
alumni-896fac65e0d5,Tenaga Pengkaji Bidang Pengawasan dan Penegakan Hukum Perpajakan
alumni-896fac65e0d5,Tenaga Pengkaji Bidang Pengawasan dan Penegakan Hukum Perpajakan Direktorat Jenderal Pajak
alumni-8ad8745d8d98,Menteri Keuangan
alumni-8ad8745d8d98,Menteri Pendidikan Dasar dan Kebudayaan Indonesia
alumni-8b1335ae4829,Duta Besar Indonesia untuk Singapura
alumni-8b23630fccc7,Chief
alumni-8b23630fccc7,Commander
alumni-8d4c9f1fbf30,Hakim Konstitusi Republik Indonesia
alumni-8d613f3fa060,Chief
alumni-8d613f3fa060,Commander
alumni-8ef52ac6fdb3,2
alumni-8ef52ac6fdb3,Miss Supranational Indonesia 2019
alumni-8ef52ac6fdb3,Puteri Indonesia
alumni-8ef52ac6fdb3,Puteri Indonesia 2019
alumni-8ef52ac6fdb3,Puteri Indonesia Pariwisata 2019
alumni-8ef52ac6fdb3,Puteri West Java
alumni-8fc6f4c23b89,anggota DPR-RI
alumni-8fc6f4c23b89,anggota Dewan Perwakilan Rakyat Daerah Indonesia
alumni-90032da23fa3,Ministry
alumni-90032da23fa3,Rector
alumni-90032da23fa3,Rektor
alumni-90032da23fa3,Rektor Institut Teknologi Bandung
alumni-90032da23fa3,komisaris
alumni-90ccc6723d10,Miss Indonesia
alumni-90d0395b772f,Chairperson
alumni-90d14e916de3,Minister
alumni-90d14e916de3,Ministry
alumni-90d14e916de3,Secretary general
alumni-9424dea9b7ae,rektor
alumni-94e5f6b85aa6,Governor
alumni-94e5f6b85aa6,Regent
alumni-95edb628aee3,Chairman
alumni-95edb628aee3,Chairman ad interim Indonesian Football Association
alumni-95edb628aee3,Coordinating Ministry for Political and Security Affairs
alumni-95edb628aee3,Minister
alumni-95edb628aee3,Ministry
alumni-9643f865b03f,Ambassador
alumni-9683c2cfed4a,Menteri Keuangan
alumni-96bcc35eff14,Duta Besar Indonesia untuk Vietnam
alumni-98c3872ad4f4,Habib
alumni-991f305cba46,founder
alumni-9bd52ddb5c79,List of Miss Indonesia Earth
alumni-9bd52ddb5c79,Luisa Andrea Soemitha
alumni-9bd52ddb5c79,Miss Earth Indonesia
alumni-9bd52ddb5c79,Miss Earth Indonesia 2019
alumni-9bd52ddb5c79,Puteri Batik Nusantara 2017
alumni-9d2203aa2be2,6
alumni-9d2203aa2be2,Chair
alumni-9d2203aa2be2,Senator for East Java
alumni-9dc05e4b4fb6,Hakim Konstitusi Republik Indonesia
alumni-9e88f651b870,Ambassador
alumni-9e88f651b870,Duta Besar Indonesia untuk Mesir
alumni-9e88f651b870,Duta Besar Indonesia untuk Thailand
alumni-a075508ceb4d,Wali kota
alumni-a1f3468610db,Chairman
alumni-a1f3468610db,Commander
alumni-a1f3468610db,Director
alumni-a1f3468610db,Governor
alumni-a2490b1da4e3,Advisors to the office
alumni-a4620a16678d,Chairman
alumni-a4620a16678d,Football association
alumni-a5b1c62aaf44,Dosen
alumni-a6ad9ac7bee5,23
alumni-a6ad9ac7bee5,Indonesian Idol runner up
alumni-a75dab7b5750,Miss Universe Indonesia
alumni-a75dab7b5750,Miss Universe Indonesia 1976
alumni-a82ad79f2502,Duta Besar Indonesia untuk Spanyol
alumni-a82ad79f2502,anggota Dewan Perwakilan Rakyat Daerah Indonesia
alumni-a87ff9eca408,Rector
alumni-a8a3e5b725da,Governor
alumni-a8a3e5b725da,Minister
alumni-a9c4ffa0de7b,Kepala
alumni-a9f504dd1688,Dosen
alumni-a9f504dd1688,profesor
alumni-aa36ea120821,Miss Universe Indonesia 2018
alumni-aa36ea120821,Puteri Bangka Belitung 2018
alumni-aa36ea120821,Puteri Indonesia
alumni-aa36ea120821,Puteri Indonesia 2018
alumni-aa689bc31945,Ambassador
alumni-ad2011d225af,anggota DPR-RI
alumni-ad3d7877beb1,Miss International
alumni-ad3d7877beb1,Miss International 1988
alumni-ad3d7877beb1,Miss International Indonesia 2022
alumni-ad3d7877beb1,Miss Tourism Indonesia 2021
alumni-ad3d7877beb1,Puteri Indonesia Lingkungan
alumni-ad3d7877beb1,Puteri Indonesia Lingkungan 2022
alumni-ad3d7877beb1,Puteri Jakarta SCR-5
alumni-ad3d7877beb1,Puteri Jakarta SCR-5 2022
alumni-aecf4e69ac06,Jaksa Agung Muda Intelijen
alumni-aecf4e69ac06,Kepala Bagian Tata Usaha pada Kejaksaan Tinggi DKI Jakarta
alumni-aecf4e69ac06,Kepala Kejaksaan Negeri Cilegon
alumni-aecf4e69ac06,Kepala Kejaksaan Negeri Jakarta Barat
alumni-aecf4e69ac06,Kepala Kejaksaan Tinggi Banten
alumni-aecf4e69ac06,Kepala Kejaksaan Tinggi DKI Jakarta
alumni-afbdeb496b87,Dosen
alumni-b0378c9884ed,(Best National Costume)
alumni-b0378c9884ed,(Miss Beauty with Voice)
alumni-b0378c9884ed,(Puteri Indonesia Lingkungan)
alumni-b0378c9884ed,Miss International 2013
alumni-b0378c9884ed,Puteri Indonesia
alumni-b0378c9884ed,Puteri Indonesia 2013
alumni-b0378c9884ed,Puteri South Sumatra
alumni-b0aaef12fc93,Professor
alumni-b1c6a4cc0770,Puteri Banten
alumni-b1c6a4cc0770,Puteri Indonesia
alumni-b301c38aff73,Governor
alumni-b301c38aff73,Ministry
alumni-b301c38aff73,Vice governor
alumni-b35cfd5ac9ae,rektor
alumni-b82e97b15e83,Rector
alumni-b833a3ca43dd,Bank Indonesia
alumni-b83e5abf0795,rektor
alumni-b8541d8c6e68,Rektor
alumni-b8b3b630ad6b,Gubernur Jawa Barat
alumni-b8b3b630ad6b,Wali Kota Bandung
alumni-b946f78d8692,Ketua
alumni-b95f9419d32b,Rektor Universitas Negeri Padang
alumni-b9fabf0a15be,Head
alumni-b9fabf0a15be,Kepala Badan Kebijakan Fiskal
alumni-b9fabf0a15be,Menteri Keuangan
alumni-b9fabf0a15be,Menteri Perencanaan Pembangunan Nasional Indonesia
alumni-b9fabf0a15be,Menteri Riset dan Teknologi
alumni-ba9de80e77b8,Rektor
alumni-bb2cbaa85323,Rektor
alumni-bbb469f9f9ee,Ketua
alumni-bbd780ca73cf,First ladies and gentlemen
alumni-bbd780ca73cf,Ministry
alumni-be673ebd0a8a,Menteri Pendidikan dan Kebudayaan Indonesia
alumni-be673ebd0a8a,Menteri pendidikan dan kebudayaan
alumni-be673ebd0a8a,direktur
alumni-be673ebd0a8a,duta besar
alumni-c0d7d15e2932,Doctor (title)
alumni-c0d7d15e2932,Dr.
alumni-c1f40f6d514f,Duta Besar Indonesia untuk Spanyol
alumni-c1f40f6d514f,anggota Dewan Perwakilan Rakyat Daerah Indonesia
alumni-c2a6a512739c,Rektor
alumni-c3c9f5462a5b,Chief
alumni-c3c9f5462a5b,Commander
alumni-c3c9f5462a5b,Vice president
alumni-c5f05b6d63c0,Indonesian National Armed Forces
alumni-c5f05b6d63c0,Indonesian navy chief
alumni-c6f9134dcfac,Rektor
alumni-c7d0ebc0cc7d,Gubernur Akademi Kepolisian
alumni-c7d0ebc0cc7d,Kepala Kepolisian Daerah Jambi
alumni-c83e90ad9df8,rektor
alumni-c9d69ca3f66a,Assistant for planning and budget
alumni-c9d69ca3f66a,Commander
alumni-c9d69ca3f66a,Deputy inspector general
alumni-c9d69ca3f66a,Governor
alumni-c9e82fd4f471,Menteri BUMN
alumni-ca8c4caeb4e8,anggota DPR-RI
alumni-cab7b13890bb,An account
alumni-cab7b13890bb,Secretary-general
alumni-cac3980fc5bd,Advisors to the office
alumni-cac3980fc5bd,Menteri Energi dan Sumber Daya Mineral Indonesia
alumni-cac3980fc5bd,Menteri Pertahanan
alumni-cac3980fc5bd,Minister
alumni-cac3980fc5bd,Ministry
alumni-cac3980fc5bd,Secretary general
alumni-cb41f8d462ec,Rektor
alumni-cbc19d45af97,Ketua
alumni-cd63e37dc06d,Guess Girl South East Asia 2015
alumni-cd63e37dc06d,List of beauty pageants
alumni-cd63e37dc06d,Miss Universe Indonesia 2017
alumni-cd63e37dc06d,Puteri Indonesia
alumni-cd63e37dc06d,Puteri Indonesia 2017
alumni-cd63e37dc06d,Puteri Jakarta SCR 5
alumni-cd63e37dc06d,Supermodel International 2011
alumni-cdd01e9589d7,Ketua
alumni-ceb6a4e35f82,Chairman and ceo
alumni-ceb6a4e35f82,Co-Chairman ofGoTo
alumni-ceb6a4e35f82,Co-chairman
alumni-cfbc50783b40,Menteri Sosial Indonesia
alumni-cfbc50783b40,Wali Kota Surabaya
alumni-d00b8df441fd,Miss Indonesia
alumni-d00b8df441fd,Miss Indonesia 2022
alumni-d00b8df441fd,Puteri Bali
alumni-d00b8df441fd,Puteri Bali 2020
alumni-d00b8df441fd,Puteri Indonesia
alumni-d00b8df441fd,Puteri Indonesia Lingkungan
alumni-d00b8df441fd,Puteri Indonesia Lingkungan 2020
alumni-d090b06d7604,full professor
alumni-d137e73d8960,Ministry
alumni-d1866cc8e8a2,Rektor
alumni-d1e581296ff2,Foreign minister
alumni-d1e581296ff2,Ministry
alumni-d20dc8f6cefd,anggota DPD-RI
alumni-d21a7700cb89,Minister
alumni-d397624b65c0,Daftar Rektor Universitas Pendidikan Indonesia
alumni-d397624b65c0,Daftar rektor
alumni-d437340fdcd9,Rektor
alumni-d437340fdcd9,Rektor Universitas Indonesia
alumni-d4565e639e68,Duta Besar Indonesia untuk Spanyol
alumni-d4565e639e68,anggota Dewan Perwakilan Rakyat Daerah Indonesia
alumni-d45e3c3e7954,Daftar Wakil Gubernur Sumatera Barat
alumni-d45e3c3e7954,Rektor
alumni-d45e3c3e7954,Rektor Universitas Andalas
alumni-d45e3c3e7954,Rektor Universitas Bung Hatta
alumni-d46922f146a1,direktur utama
alumni-d57ec60a253a,Menteri Hukum dan Hak Asasi Manusia Republik Indonesia
alumni-d57ec60a253a,Menteri Luar Negeri
alumni-d72629d6500d,Rektor
alumni-d72629d6500d,rektor
alumni-d73643fe270d,Miss Universe Indonesia
alumni-d73643fe270d,Miss Universe Indonesia 1974
alumni-d8d085d7484a,Daftar Wakil Gubernur Sumatera Barat
alumni-d8d085d7484a,Gubernur Sumatera Barat
alumni-d8d085d7484a,Rektor
alumni-d94a874395bc,Rektor
alumni-d97153f6e050,Prime minister
alumni-dc483a9939d8,Commander
alumni-dc483a9939d8,Indonesian army chief
alumni-dc483a9939d8,Indonesian army deputy chief
alumni-dd6a147d343f,"Direktur peraturan perpajakan ii, direktorat jenderal pajak,"
alumni-dd6a147d343f,"Kepala Subdirektorat Dampak Kebijakan Direktorat Potensi, Kepatuhan dan Penerimaan"
alumni-dd6a147d343f,Kepala Subdirektorat Sarana dan Tenaga Penyuluhan Direktorat Penyuluhan Perpajakan
alumni-dd6a147d343f,Tenaga Pengkaji Bidang Pelayanan Perpajakan Direktorat Jenderal Pajak
alumni-dd6a147d343f,Tenaga Pengkaji Bidang Pengawasan dan Penegakan Hukum Perpajakan
alumni-dd6a147d343f,Tenaga Pengkaji Bidang Pengawasan dan Penegakan Hukum Perpajakan Direktorat Jenderal Pajak
alumni-dd77ce54fc89,anggota DPR-RI
alumni-ded2fdf05202,Rektor
alumni-e093772d72ed,Miss International 4th Runner-Up
alumni-e093772d72ed,Puteri Indonesia
alumni-e093772d72ed,Puteri Indonesia Lingkungan
alumni-e093772d72ed,Puteri Indonesia Yogyakarta
alumni-e2061c074d23,Miss International 2009
alumni-e2061c074d23,Miss International Indonesia 2009
alumni-e2061c074d23,Puteri Indonesia
alumni-e2061c074d23,Puteri Indonesia 2008
alumni-e2061c074d23,Puteri Indonesia Lingkungan
alumni-e2061c074d23,Puteri Indonesia Lingkungan 2008
alumni-e2468e9a404e,President
alumni-e26a490c67f2,UNICEF Goodwill Ambassador
alumni-e3c6419fb334,Duta Besar Indonesia untuk Malaysia
alumni-e3c6419fb334,Duta Besar Indonesia untuk Spanyol
