alumniId,name,normalizedName,description,source,clusterId,embedding
alumni-75dfa25662a5,Busyra Azheri,busyra azheri,,https://github.com/burhansa25/graph,,
alumni-d252e508ae37,Caliadi,caliadi,,https://github.com/burhansa25/graph,,
alumni-fdcbad7fe45b,Carma Citrawati,carma citrawati,,https://github.com/burhansa25/graph,,
alumni-6cd53415dc75,Christina Aryani,christina aryani,,https://github.com/burhansa25/graph,,
alumni-d6de3d8a94ad,Christy Jusung,christy jusung,,https://github.com/burhansa25/graph,,
alumni-765cef64db6e,Chusnunia Chalim,chusnunia chalim,,https://github.com/burhansa25/graph,,
alumni-ad3d7877beb1,Cindy May McGuire,cindy may mcguire,,https://github.com/burhansa25/graph,,
alumni-9bd52ddb5c79,Cinthia Kusuma Rani,cinthia kusuma rani,,https://github.com/burhansa25/graph,,
alumni-21575e5e347c,Cok Ace,cok ace,,https://github.com/burhansa25/graph,,
alumni-85f982d9ae72,Cok Istri Krisnanda Widani,cok istri krisnanda widani,,https://github.com/burhansa25/graph,,
alumni-3542eddd5437,Constant Karma,constant karma,,https://github.com/burhansa25/graph,,
alumni-ae2f8bcae6d5,Corona Rintawan,corona rintawan,,https://github.com/burhansa25/graph,,
alumni-a9c4ffa0de7b,Dadan Hindayana,dadan hindayana,,https://github.com/burhansa25/graph,,
alumni-c9e82fd4f471,Dahlan Iskan,dahlan iskan,,https://en.wikipedia.org/wiki/Dahlan_Iskan,,
alumni-9804c079fb5e,Damayanti Buchori,damayanti buchori,,https://github.com/burhansa25/graph,,
alumni-e220ae4c892c,Danarto,danarto,,https://github.com/burhansa25/graph,,
alumni-bb9e3c1a386a,Dani Ramdan,dani ramdan,,https://github.com/burhansa25/graph,,
alumni-337b65caa579,Darwin Zahedy Saleh,darwin zahedy saleh,,https://en.wikipedia.org/wiki/Darwin_Zahedy_Saleh,,
alumni-532ac2214f02,Deddy Corbuzier,deddy corbuzier,,https://github.com/burhansa25/graph,,
alumni-20f85fb8e9b1,Defia Rosmaniar,defia rosmaniar,,https://github.com/burhansa25/graph,,
alumni-468416bf5204,Deknong Kemalawati,deknong kemalawati,,https://github.com/burhansa25/graph,,
alumni-612da7e62afb,Demetrio do Amaral de Carvalho,demetrio do amaral de carvalho,,https://github.com/burhansa25/graph,,
alumni-96bcc35eff14,Denny Abdi,denny abdi,,https://en.wikipedia.org/wiki/Denny_Abdi,,
alumni-ff5d6c2946d7,Denny Abdi,denny abdi,,https://en.wikipedia.org/wiki/Denny_Abdi,,
alumni-422174b59b4d,Denny Cagur,denny cagur,,https://github.com/burhansa25/graph,,
alumni-fcea2d154a3d,Derry Aman,derry aman,,https://github.com/burhansa25/graph,,
alumni-9643f865b03f,Desra Percaya,desra percaya,,https://github.com/burhansa25/graph,,
alumni-fc1d97f9c349,Desra Percaya,desra percaya,,https://en.wikipedia.org/wiki/Desra_Percaya,,
alumni-6a1864976918,Devina Hermawan,devina hermawan,,https://github.com/burhansa25/graph,,
alumni-6b2283119dec,Dewa Made Beratha,dewa made beratha,,https://github.com/burhansa25/graph,,
alumni-67a54522e419,Dewi Gustina Tobing,dewi gustina tobing,,https://github.com/burhansa25/graph,,
alumni-e26a490c67f2,Dewi Hughes,dewi hughes,,https://github.com/burhansa25/graph,,
alumni-be15aaa425e1,Dewi Lestari,dewi lestari,,https://github.com/burhansa25/graph,,
alumni-f61d264c1eed,Dharma Pongrekun,dharma pongrekun,,https://github.com/burhansa25/graph,,
alumni-c28c389960c4,Dhony Rahajoe,dhony rahajoe,,https://github.com/burhansa25/graph,,
alumni-ef91e50be813,Diah Tri Widayati,diah tri widayati,,https://github.com/burhansa25/graph,,
alumni-b00bab66d7a7,Diananda Choirunisa,diananda choirunisa,,https://github.com/burhansa25/graph,,
alumni-d397624b65c0,Didi Sukyadi,didi sukyadi,,https://github.com/burhansa25/graph,,
alumni-11f44f374b5e,Dimyati Natakusumah,dimyati natakusumah,,https://github.com/burhansa25/graph,,
alumni-4fe05587c883,Dindin Wahyudin,dindin wahyudin,,https://en.wikipedia.org/wiki/Dindin_Wahyudin,,
alumni-88e4ca53f96c,Djan Faridz,djan faridz,,https://github.com/burhansa25/graph,,
alumni-34ae2ae8c386,Djarot Saiful Hidayat,djarot saiful hidayat,,https://github.com/burhansa25/graph,,
alumni-792ff3f54219,Djarot Saiful Hidayat,djarot saiful hidayat,,https://github.com/burhansa25/graph,,
alumni-e878e63a440c,Djohan Effendi,djohan effendi,,https://github.com/burhansa25/graph,,
alumni-8510f2023099,Djohar Arifin Husin,djohar arifin husin,,https://github.com/burhansa25/graph,,
alumni-e2468e9a404e,Djohar Arifin Husin,djohar arifin husin,,https://github.com/burhansa25/graph,,
alumni-05cad96ba7bd,Djoko Santoso,djoko santoso,,https://github.com/burhansa25/graph,,
alumni-2d693af6c63a,Djoko Santoso (akademisi),djoko santoso (akademisi),,https://github.com/burhansa25/graph,,
alumni-d97153f6e050,Djuanda Kartawidjaja,djuanda kartawidjaja,,https://github.com/burhansa25/graph,,
alumni-266cec9f4e4b,Djuanda Suraatmadja,djuanda suraatmadja,,https://github.com/burhansa25/graph,,
alumni-32a97efea573,Doddy Achdiat Tisna Amidjaja,doddy achdiat tisna amidjaja,,https://github.com/burhansa25/graph,,
alumni-0ba39aa123d8,Dody Hanggodo,dody hanggodo,,https://github.com/burhansa25/graph,,
alumni-16af77d17293,Doni Monardo,doni monardo,,https://github.com/burhansa25/graph,,
alumni-0c75bf516f40,Donny Ermawan Taufanto,donny ermawan taufanto,,https://github.com/burhansa25/graph,,
alumni-2e3a230e37a4,Donny Ermawan Taufanto,donny ermawan taufanto,,https://github.com/burhansa25/graph,,
alumni-c3d71acbea39,Dudung Abdurachman,dudung abdurachman,,https://github.com/burhansa25/graph,,
alumni-73138b576f5b,Duma Riris Silalahi,duma riris silalahi,,https://github.com/burhansa25/graph,,
alumni-afbdeb496b87,Dwi Hendratmo Widyantoro,dwi hendratmo widyantoro,,https://github.com/burhansa25/graph,,
alumni-63cb7e225571,Dwi Rubiyanti Kholifah,dwi rubiyanti kholifah,,https://github.com/burhansa25/graph,,
alumni-ef48ed03c3e1,Eddy Martadinata,eddy martadinata,,https://github.com/burhansa25/graph,,
alumni-e21b0da3d4f2,Eddy Yusuf,eddy yusuf,,https://github.com/burhansa25/graph,,
alumni-03630a75eb3e,Edhy Prabowo,edhy prabowo,,https://github.com/burhansa25/graph,,
alumni-a2490b1da4e3,Edward Omar Sharif Hiariej,edward omar sharif hiariej,,https://github.com/burhansa25/graph,,
alumni-56634068d5df,Edy Rahmayadi,edy rahmayadi,,https://github.com/burhansa25/graph,,
alumni-0587d398eb70,Eka Kurniawan,eka kurniawan,,https://github.com/burhansa25/graph,,
alumni-0337f4fec5ad,Eko Yuli Irawan,eko yuli irawan,,https://github.com/burhansa25/graph,,
alumni-68940acdfb5b,Elfin Pertiwi Rappa,elfin pertiwi rappa,,https://github.com/burhansa25/graph,,
alumni-764e3259ce70,Elvira Devinamira,elvira devinamira,,https://github.com/burhansa25/graph,,
alumni-79f83e25b534,Endang Turmudi,endang turmudi,,https://github.com/burhansa25/graph,,
alumni-fba8dc6378fb,Enggartiasto Lukita,enggartiasto lukita,,https://github.com/burhansa25/graph,,
alumni-62a3ba7e207c,Eri Cahyadi,eri cahyadi,,https://github.com/burhansa25/graph,,
alumni-1d614af078ec,Eriko Sotarduga,eriko sotarduga,,https://github.com/burhansa25/graph,,
alumni-f39456476314,Erina Gudono,erina gudono,,https://github.com/burhansa25/graph,,
alumni-c531288c4534,Eugenia Diva Widodo,eugenia diva widodo,,https://github.com/burhansa25/graph,,
alumni-d45e3c3e7954,Fachri Ahmad,fachri ahmad,,https://github.com/burhansa25/graph,,
alumni-2dda5bdcd03c,Fadel Muhammad,fadel muhammad,,https://github.com/burhansa25/graph,,
alumni-755e1d809871,Fadel Muhammad,fadel muhammad,,https://github.com/burhansa25/graph,,
alumni-991f305cba46,Faris Dedi Setiawan,faris dedi setiawan,,https://github.com/burhansa25/graph,,
alumni-957d4d5e54aa,Febriana Firdaus,febriana firdaus,,https://github.com/burhansa25/graph,,
alumni-519482c7beb2,Feisal Tanjung,feisal tanjung,,https://github.com/burhansa25/graph,,
alumni-32412a2b0068,Festus Simbiak,festus simbiak,,https://github.com/burhansa25/graph,,
alumni-ff7530948a6c,Festus Simbiak,festus simbiak,,https://github.com/burhansa25/graph,,
alumni-56f45c619934,Fikry Cassidy,fikry cassidy,,https://github.com/burhansa25/graph,,
alumni-9424dea9b7ae,Firmanzah,firmanzah,,https://en.wikipedia.org/wiki/Firmanzah,,
alumni-6bbca77ad86e,Firsta Yufi,firsta yufi,,https://github.com/burhansa25/graph,,
alumni-ab974104fd0b,Franka Soeria,franka soeria,,https://github.com/burhansa25/graph,,
alumni-69ef3ff9f21f,Frederik Batti Sorring,frederik batti sorring,,https://github.com/burhansa25/graph,,
alumni-0daacd67ccab,Frits Bernhard Mewengkang,frits bernhard mewengkang,,https://github.com/burhansa25/graph,,
alumni-be673ebd0a8a,Fuad Hassan,fuad hassan,,https://en.wikipedia.org/wiki/Fuad_Hassan,,
alumni-677bb66c6250,Gamawan Fauzi,gamawan fauzi,,https://github.com/burhansa25/graph,,
alumni-a8a3e5b725da,Gamawan Fauzi,gamawan fauzi,,https://github.com/burhansa25/graph,,
alumni-cbbf9146c5ed,Gandi Sulistiyanto,gandi sulistiyanto,,https://github.com/burhansa25/graph,,
alumni-b95f9419d32b,Ganefri,ganefri,,https://github.com/burhansa25/graph,,
alumni-8b23630fccc7,Gatot Nurmantyo,gatot nurmantyo,,https://github.com/burhansa25/graph,,
alumni-0bc6e2cc8333,Gatot Sudjito,gatot sudjito,,https://github.com/burhansa25/graph,,
alumni-69cfe94c1af4,Gatot Sudjito,gatot sudjito,,https://github.com/burhansa25/graph,,
alumni-69b6659da04b,Gina Yoginda,gina yoginda,,https://github.com/burhansa25/graph,,
alumni-48a10644f79d,Ginandjar Kartasasmita,ginandjar kartasasmita,,https://github.com/burhansa25/graph,,
alumni-84e79951619d,Goenarso,goenarso,,https://github.com/burhansa25/graph,,
alumni-16476c8ca896,Grata Endah Werdaningtyas,grata endah werdaningtyas,,https://github.com/burhansa25/graph,,
alumni-dd6442fa6a23,Guru Gembul,guru gembul,,https://github.com/burhansa25/graph,,
alumni-5ea87b698440,H. S. Dillon,h. s. dillon,,https://github.com/burhansa25/graph,,
alumni-09caa2a0ae01,Habiburokhman,habiburokhman,,https://github.com/burhansa25/graph,,
alumni-34ee96d06a48,Habiburokhman,habiburokhman,,https://github.com/burhansa25/graph,,
alumni-63b2bd45d86d,Habiburokhman,habiburokhman,,https://github.com/burhansa25/graph,,
alumni-679b297ca383,Habiburokhman,habiburokhman,,https://github.com/burhansa25/graph,,
alumni-fc80f15e86a5,Hadi Mulyadi,hadi mulyadi,,https://github.com/burhansa25/graph,,
alumni-8d042cde967b,Hadi Prabowo,hadi prabowo,,https://github.com/burhansa25/graph,,
alumni-8d613f3fa060,Hadi Tjahjanto,hadi tjahjanto,,https://github.com/burhansa25/graph,,
alumni-34082ef92a28,Haedar Nashir,haedar nashir,,https://github.com/burhansa25/graph,,
alumni-c0d7d15e2932,Haidar Bagir,haidar bagir,,https://github.com/burhansa25/graph,,
alumni-4129f61d238d,Hamdan Zoelva,hamdan zoelva,,https://github.com/burhansa25/graph,,
alumni-a0fc6e44a647,Hamid Awaludin,hamid awaludin,,https://github.com/burhansa25/graph,,
alumni-041729be581d,Hamka Hendra Noer,hamka hendra noer,,https://github.com/burhansa25/graph,,
