alumniId,universityName
alumni-0c0c736684a0,University of National Education
alumni-0c1e8d6bbc1f,Airlangga University
alumni-0c55e8e6a8e7,Indonesia Open University
alumni-0c75bf516f40,Indonesian Air Force Academy
alumni-0daacd67ccab,Institut Teknologi Bandung
alumni-0ecaef26b18c,Institut Teknologi Bandung
alumni-0efc75b925da,Diponegoro University
alumni-0f1aeeda9a2f,"Atma Jaya University, Yogyakarta"
alumni-0f9c245475f2,Universitas Gadjah Mada
alumni-0fbe01d63969,Institut Teknologi Bandung
alumni-102766b7cbdb,Diponegoro University
alumni-1044c2227a7f,BINUS University
alumni-10db4f053684,Institut Teknologi Bandung
alumni-10df1ff63523,Airlangga University
alumni-113a9d0e76f2,Petra Christian University
alumni-11a7246d6f94,Sunan Kalijaga State Islamic University
alumni-11f44f374b5e,Esa Unggul University
alumni-123e7513ddb2,Institut Teknologi Sepuluh Nopember
alumni-1275bd07c855,Institut Teknologi Bandung
alumni-13a4921f0821,Institut Teknologi Bandung
alumni-13aa940bbe83,Walisongo State Islamic University
alumni-1490d2bdf64f,University of North Sumatra
alumni-14dd29e3dd10,Airlangga University
alumni-15598ad35527,University of Lampung
alumni-15b5e727e80f,Hasanuddin University
alumni-161bd455e139,Institut Teknologi Bandung
alumni-16476c8ca896,Parahyangan Catholic University
alumni-16578d5bd980,Warmadewa University
alumni-166a96330676,Universitas Katolik Parahyangan
alumni-16af77d17293,Indonesian Military Academy
alumni-16f3062fc593,Universitas Gadjah Mada
alumni-17398670cd53,Universitas Gadjah Mada
alumni-17b5a331c971,Indonesian Military Academy
alumni-17e604a607cf,Universitas Gadjah Mada
alumni-17ff58df6cc0,Diponegoro University
alumni-18223247106a,Universitas Indonesia
alumni-1841976c4a19,Airlangga University
alumni-18e7b47f0a53,Universitas Gadjah Mada
alumni-18ee6cbfbca6,Universitas Gadjah Mada
alumni-196ea66f1415,Universitas Syiah Kuala
alumni-199b2d8f27e8,Institut Teknologi Bandung
alumni-19febd99226d,Sunan Kalijaga State Islamic University
alumni-1a565aa84069,Sultan Syarif Kasim II State Islamic University
alumni-1a66c0809259,Universitas Gadjah Mada
alumni-1a72692aa562,Universitas Gadjah Mada
alumni-1b2a1226c18e,Universitas Padjadjaran
alumni-1b681d47f9a7,Muhammadiyah University of Surakarta
alumni-1b6e5b153f5f,Trisakti University
alumni-1b709c7db875,Trisakti University
alumni-1b7d3b4ddcd2,University of North Sumatra
alumni-1be3396d3afa,Sekolah Tinggi Ilmu Hukum Sultan Adam
alumni-1c35d4e54a6e,Institut Teknologi Bandung
alumni-1c4c0db2dcf3,Muhammadiyah University of Yogyakarta
alumni-1c6074e3f8b8,Institut Teknologi Bandung
alumni-1c6cba41b5cd,Institut Teknologi Bandung
alumni-1d614af078ec,Trisakti University
alumni-1d989a22494a,Institut Teknologi Bandung
alumni-1db36566fcbf,Tadulako University
alumni-1df3009caeb9,University of Jambi
alumni-1e5bec94c415,Universitas Indonesia
alumni-1ead16c236bf,Muhammadiyah University of Yogyakarta
alumni-1ee86a12a15a,Parahyangan Catholic University
alumni-1f76a7625fdc,Universitas Indonesia
alumni-1f9c6a97188d,Satya Wacana Christian University
alumni-202798c439b6,University of North Sumatra
alumni-20a2e6107bf4,Universitas Gadjah Mada
alumni-20f85fb8e9b1,State University of Jakarta
alumni-21575e5e347c,Udayana University
alumni-2183d001692f,Indonesian Military Academy
alumni-21a5d40c8e07,Udayana University
alumni-21f10ea3711e,Institut Teknologi Bandung
alumni-221066e00cde,Diponegoro University
alumni-221807c147a8,Universitas Gadjah Mada
alumni-231175d9574f,Institut Teknologi Bandung
alumni-2346f8828376,Universitas Indonesia
alumni-238557529084,Esa Unggul University
alumni-23c9e073ea0b,Institut Teknologi Sepuluh Nopember
alumni-23d441a2b746,Hasanuddin University
alumni-243719d950a3,State University of Jakarta
alumni-25e2467e2206,Hasanuddin University
alumni-266cec9f4e4b,Institut Teknologi Bandung
alumni-266d06aa90f9,IPB University
alumni-26b45a3a9c24,Indonesia Open University
alumni-26de98782e2f,Universitas Gadjah Mada
alumni-272601dbc358,Atma Jaya Catholic University of Indonesia
alumni-27675cd05ce1,Syarif Hidayatullah State Islamic University Jakarta
alumni-27e5e7188911,Diponegoro University
alumni-2802f511b268,Universitas Gadjah Mada
alumni-280bf6b3dd11,Sam Ratulangi University
alumni-28cc68888561,Indonesian Air Force Academy
alumni-28f3e02e9b3e,Universitas Gadjah Mada
alumni-28fe3bdb1d7a,Andalas University
alumni-2a4a15acf5e8,Universitas Gadjah Mada
alumni-2abcf1b45a46,University of North Sumatra
alumni-2ac0ee33824d,Universitas Gadjah Mada
alumni-2af1a9ed18c4,Universitas Negeri Jakarta
alumni-2b6f1d506edf,University of National Education
alumni-2c917cab065d,Parahyangan Catholic University
alumni-2cf37ecc554d,Indonesian Military Academy
alumni-2cf5af3f0d06,Universitas Gadjah Mada
alumni-2d02e93716ac,Universitas Gadjah Mada
alumni-2d1b22018539,University of Lampung
alumni-2d1da94f751a,Indonesian Military Academy
alumni-2d3223ca8cc1,Gunadarma University
alumni-2d693af6c63a,Institut Teknologi Bandung
alumni-2dda5bdcd03c,Universitas Gadjah Mada
alumni-2e3a230e37a4,Institut Teknologi Bandung
alumni-2e636296614f,Andalas University
alumni-2ebfee5abad6,Institut Teknologi Bandung
alumni-2f67773d0ca0,Indonesian Military Academy
alumni-2f6a199e2ddd,Indonesian Military Academy
alumni-30779f3c2dea,Universitas Gadjah Mada
alumni-316d48995684,Universitas Gadjah Mada
alumni-31a551aea30b,Institut Teknologi Bandung
alumni-31d687141c11,Universitas Gadjah Mada
alumni-32412a2b0068,State University of Malang
alumni-327bca5a15e8,Indonesia University of Education
alumni-327e2af9bbbb,Universitas Udayana
alumni-328911f354b4,Lambung Mangkurat University
alumni-32a97efea573,Institut Teknologi Bandung
alumni-32aaab836af0,State University of Surabaya
alumni-337b65caa579,Universitas Indonesia
alumni-33b4342db79e,Universitas Indonesia
alumni-33ca3b6f5e38,Udayana University
alumni-34082ef92a28,Universitas Gadjah Mada
alumni-34343ab2816f,Indonesia Institute of the Arts Yogyakarta
alumni-3440d255ce12,Indonesia University of Education
alumni-34aadbad6b97,IPB University
alumni-34ae2ae8c386,Universitas Gadjah Mada
alumni-34b0eddf0b25,Institut Teknologi Bandung
alumni-34c1a920986a,Airlangga University
alumni-34dab6a97ac5,Institut Teknologi Bandung
alumni-34e432971627,Universitas Gadjah Mada
alumni-34eb14f042b3,Hasanuddin University
alumni-34ee96d06a48,Sebelas Maret University
alumni-34f4d2216bc6,Institut Teknologi Bandung
alumni-35235fdb7705,Universitas Andalas
alumni-3542d9dc80be,Institut Teknologi Bandung
alumni-3542eddd5437,Universitas Gadjah Mada
alumni-356b83fb34d5,Trisakti University
alumni-36aa15127964,Institut Teknologi Bandung
alumni-36edc3f1a1eb,University of North Sumatra
alumni-389e461e2b5e,Indonesian State College of Accountancy
alumni-39572b71c592,Syiah Kuala University
alumni-39921bdb5818,Universitas Gadjah Mada
alumni-3998da15865f,Universitas Gadjah Mada
alumni-39ee0c8c42e5,Christian University of Indonesia
alumni-3a65759e9c28,Institut Teknologi Bandung
alumni-3ac000487651,University of North Sumatra
alumni-3aec24d8c1e5,Institut Teknologi Bandung
alumni-3b5bc4345882,Institut Teknologi Bandung
alumni-3bbbed602386,Christian University of Indonesia
alumni-3ce4051eb317,Hasanuddin University
alumni-3d6214293322,Universitas Indonesia
alumni-3d88ec4ed6f4,Diponegoro University
alumni-3da2a5e0a7f9,Institut Teknologi Bandung
alumni-3db6a0cf5610,Universitas Gadjah Mada
alumni-3e2f7926dcbf,Universitas Andalas
alumni-3e3a64de8ea2,Institut Teknologi Bandung
alumni-3ec941a3f8d2,IPB University
alumni-3f093c5677f7,Institut Teknologi Bandung
alumni-3f83ef713166,Universitas Gadjah Mada
alumni-3fd0a12a0577,University of National Education
alumni-40127489796a,Universitas Gadjah Mada
alumni-40590e46631b,Institut Teknologi Bandung
alumni-4076e955ac3a,Airlangga University
alumni-40f3bf64b799,Hasanuddin University
alumni-4129f61d238d,Hasanuddin University
alumni-413fed9cae2c,IPB University
alumni-41c99bb0c529,Sunan Ampel State Islamic University Surabaya
alumni-41f3494a4309,Sam Ratulangi University
alumni-422174b59b4d,State University of Jakarta
alumni-42719c1b8df1,Syarif Hidayatullah State Islamic University Jakarta
alumni-43d2747565a1,IPB University
alumni-441421be210d,Swiss German University
alumni-451d82005c3c,Indonesia University of Education
alumni-468416bf5204,Syiah Kuala University
alumni-46c45b0d143b,Universitas Gadjah Mada
alumni-4741ecd91b8c,Institut Teknologi Bandung
alumni-485d6ff1742c,Universitas Gadjah Mada
alumni-48a10644f79d,Institut Teknologi Bandung
alumni-48b89dad4270,Syarif Hidayatullah State Islamic University Jakarta
alumni-48e376370d94,Diponegoro University
alumni-48f8f397a347,Christian University of Indonesia
alumni-490335e2356e,Indonesia Open University
alumni-491695aafed9,Trisakti University
alumni-4a1297e6efe4,Universitas Negeri Semarang
alumni-4ac4a4b40d9f,Hasanuddin University
alumni-4b360b7d2eee,Universitas Indonesia
alumni-4b4407c3e291,Sebelas Maret University
alumni-4b4a02db5ca2,Trisakti University
alumni-4b708c13c8a0,BINUS University
alumni-4be42a0b6adb,Diponegoro University
alumni-4d20bd81006f,Universitas Gadjah Mada
alumni-4dd4a931eeaf,Udayana University
alumni-4e2395cd8e69,Universitas Gadjah Mada
alumni-4eb1e29727ad,State University of Jakarta
alumni-4ee6e002ca34,Universitas Gadjah Mada
alumni-4f127979099e,Diponegoro University
alumni-4f2c03e53473,Maulana Malik Ibrahim State Islamic University Malang
alumni-4f475d3526c2,University of Mataram
alumni-4fe05587c883,Universitas Padjadjaran
alumni-5038bcac7dd7,Universitas Indonesia
alumni-50519a4dcc8e,Institut Teknologi Bandung
alumni-507175501478,IPB University
alumni-50a203d9a42e,Indonesian Military Academy
alumni-5152313d084d,National University (Indonesia)
alumni-519482c7beb2,Indonesian Military Academy
alumni-530855e97407,Universitas Indonesia
alumni-5315ff6dd87d,Institut Teknologi Sepuluh Nopember
alumni-532ac2214f02,Atma Jaya Catholic University of Indonesia
alumni-5426d6c5ac5e,Pancasila University
alumni-545b2361a802,Hasanuddin University
alumni-546fce9eac6c,BINUS University
alumni-54715d61fe49,State University of Malang
alumni-54c857de37cd,Universitas Gadjah Mada
alumni-54cc58610ca2,Universitas Sriwijaya
alumni-5516790fa2c8,Andalas University
alumni-55c1543f62f1,Universitas Indonesia
alumni-55cc065fa82b,Trisakti University
alumni-55fad8c3c614,Indonesia Institute of the Arts Yogyakarta
alumni-563751bc1afd,Brawijaya University
alumni-56634068d5df,Indonesian Military Academy
alumni-5682d1c63a5a,Institut Pertanian Bogor
alumni-56f45c619934,Parahyangan Catholic University
alumni-57157ea4192e,Udayana University
alumni-573f3614e4bb,Parahyangan Catholic University
alumni-580ec5876302,Hasanuddin University
alumni-583fa6992dcf,Universitas Indonesia
alumni-58542c6f9650,University of Riau
alumni-5909f0fabfd5,Institut Teknologi Bandung
alumni-59279cea45fc,Institut Teknologi Bandung
alumni-5a166138daa0,Indonesian Military Academy
alumni-5a6dab7870f6,Universitas Indonesia
alumni-5afbc612f65d,Universitas Brawijaya
alumni-5b19800825de,Indonesia Institute of the Arts Yogyakarta
alumni-5b9d6a946827,Mulawarman University
alumni-5c8ca308a2d9,Syarif Hidayatullah State Islamic University Jakarta
alumni-5ce3394f1f29,Universitas Gadjah Mada
alumni-5d474b486866,Trisakti University
alumni-5dfe3bcdfeda,Universitas Indonesia
alumni-5e06d1c7b2f2,Institut Teknologi Bandung
alumni-5e3a66c38ce3,Institut Teknologi Bandung
alumni-5ea87b698440,University of North Sumatra
alumni-5ed1d50cf329,Hasanuddin University
alumni-5ef58501f3a6,Christian University of Indonesia
alumni-5f082ced1add,Universitas Gadjah Mada
alumni-5f27cbb8f567,Institut Teknologi Bandung
alumni-5f30c9b840b5,Sebelas Maret University
alumni-5ffb6ce4e5b2,Indonesian Military Academy
alumni-6072b8d47317,Muhammadiyah University of Surakarta
alumni-612da7e62afb,Universitas Gadjah Mada
alumni-613d6b2bd991,Institut Teknologi Bandung
alumni-6146c837c907,Trisakti University
alumni-61c1b561d2b9,Trisakti University
alumni-61f55b7c6526,Airlangga University
alumni-62392e066823,Universitas Gadjah Mada
alumni-629d9b3dbfd3,Syarif Hidayatullah State Islamic University Jakarta
alumni-62a3ba7e207c,Institut Teknologi Sepuluh Nopember
alumni-6359e438b046,Indonesian Military Academy
alumni-63b2bd45d86d,Lampung University
alumni-63cb7e225571,University of Jember
alumni-64fe55cac24c,Syarif Hidayatullah State Islamic University Jakarta
alumni-671e79d84aa6,Indonesian Military Academy
alumni-677bb66c6250,State University of Padang
alumni-679b297ca383,Geophysical Engineering Department of Unila
alumni-67a54522e419,Christian University of Indonesia
alumni-67c1fe1a8a15,Indonesian Military Academy
alumni-684d94afd6ce,Universitas Gadjah Mada
alumni-686785f9724e,Hasanuddin University
alumni-68940acdfb5b,Sriwijaya University
alumni-693f04f0fb17,Telkom University
alumni-6973bc228282,Indonesian Military Academy
alumni-69b6659da04b,Indonesian Military Academy
alumni-69cfe94c1af4,Wijaya Putra University
alumni-69ef3ff9f21f,Universitas Gadjah Mada
alumni-6a1864976918,Institut Teknologi Bandung
alumni-6a8d637beced,Indonesian Military Academy
alumni-6abfbd995d8c,Institut Teknologi Bandung
alumni-6b2283119dec,Universitas Gadjah Mada
alumni-6b5f611119a0,Udayana University
alumni-6b9cdd1aee73,Airlangga University
alumni-6bbca77ad86e,Brawijaya University
alumni-6cd53415dc75,Atma Jaya Catholic University of Indonesia
alumni-6cef4c0fa226,Universitas Negeri Padang
alumni-6d2b2c4afd8f,Indonesian Naval Academy
alumni-6d53df8bdcd7,Trisakti University
alumni-6e04bf722b01,Institut Teknologi Bandung
alumni-6f27cbf1eb84,University of Surabaya
alumni-6f349c7fd23b,Hasanuddin University
alumni-6f360e8381ed,Brawijaya University
alumni-6fa17fe853ae,Airlangga University
alumni-6fca27732fd5,Universitas Indonesia
alumni-701139c7e9f1,Indonesian Military Academy
alumni-707520da7f68,Airlangga University
alumni-707c31dfd809,Universitas Gadjah Mada
alumni-709a50d7e196,Hasanuddin University
alumni-710505c0a151,Pancasila University
alumni-71ac2312e3e6,State University of Jakarta
alumni-720db7c3d2a3,Hasanuddin University
alumni-7219889d1bbd,Institut Teknologi Bandung
alumni-7296cba7dd2e,Universitas Gadjah Mada
alumni-72b1fc9fba4f,Indonesian Military Academy
alumni-73138b576f5b,University of North Sumatra
alumni-732694165cc5,Universitas Gadjah Mada
alumni-7338650d6c20,Institut Teknologi Bandung
alumni-73443a68de90,Universitas Gadjah Mada
alumni-73ead9d246cd,Hasanuddin University
alumni-74490dd774b0,Institut Teknologi Bandung
alumni-746e540e62b2,IPB University
alumni-74efe376407a,Universitas Andalas
alumni-755e1d809871,Institut Teknologi Bandung
alumni-7579ee566040,Institut Teknologi Bandung
alumni-7590b07fd0dd,Satya Wacana Christian University
alumni-75dfa25662a5,Universitas Brawijaya
alumni-75ee6316de59,Universitas Padjadjaran
alumni-7605dc38093f,Universitas Gadjah Mada
alumni-763bb21b5a5b,Institut Teknologi Bandung
alumni-763c882dd85a,University of Riau
alumni-764e3259ce70,Airlangga University
alumni-765cef64db6e,National University (Indonesia)
alumni-76aa5332baa4,Universitas Gadjah Mada
alumni-76ef73b93857,Sam Ratulangi University
alumni-771f4e8ba073,Brawijaya University
alumni-7797a354c1a6,University of Lampung
alumni-77df7da3a911,Universitas Syiah Kuala
alumni-7822587639ed,Airlangga University
alumni-784935df2900,Perbanas Institute
alumni-7929bf36dfb1,Trisakti University
alumni-792ff3f54219,Brawijaya University
alumni-797e45d1a5aa,Universitas Gadjah Mada
alumni-79f83e25b534,Sunan Kalijaga State Islamic University
alumni-7a9205071f43,Universitas Gadjah Mada
alumni-7bc5e33dd0ad,Airlangga University
alumni-7c261c6e1d40,Universitas Gadjah Mada
alumni-7d1cfec393d5,Atma Jaya Catholic University of Indonesia
alumni-7d42a2da5445,Syarif Hidayatullah State Islamic University Jakarta
alumni-7e4f412b1131,Universitas Andalas
alumni-7e922764d4d1,Syarif Hidayatullah State Islamic University Jakarta
alumni-7ed438a4eecd,Trisakti University
alumni-7eeaead018ea,Institut Teknologi Bandung
alumni-7f48c932c583,Geophysical Engineering Department of Unila
alumni-7f9fc9e1df14,Universitas Gadjah Mada
alumni-7fb2edee7cbc,Diponegoro University
alumni-80e1a2910d83,Indonesian Military Academy
alumni-81394c265ea2,Indonesian Naval Academy
alumni-8179926809d8,Andalas University
alumni-81862e9a5dff,Airlangga University
alumni-81d9319ae764,Esa Unggul University
alumni-825583fbd36c,Universitas Gadjah Mada
alumni-82596b88a4f2,Geophysical Engineering Department of Unila
alumni-827c5e85cc13,Hasanuddin University
alumni-843293c26d6f,Universitas Indonesia
alumni-84959788b4fd,Universitas Gadjah Mada
alumni-84e79951619d,Institut Teknologi Bandung
alumni-8510f2023099,University of North Sumatra
alumni-855437aee287,Syarif Hidayatullah State Islamic University Jakarta
alumni-85f982d9ae72,Udayana University
alumni-85fd64312ded,Indonesian Air Force Academy
alumni-8612014e915d,Institut Teknologi Bandung
alumni-873c71c5d99e,Airlangga University
alumni-876de6d2e687,Maranatha Christian University
alumni-87dc0fab59e7,Universitas Gadjah Mada
alumni-8802a819fe7b,Institut Teknologi Bandung
alumni-88036ebc683b,Universitas Gadjah Mada
alumni-882fddb5e01a,Indonesian Military Academy
alumni-88dd5b9edffc,Universitas Gadjah Mada
alumni-88e4ca53f96c,Tarumanagara University
alumni-88f8e640fec9,Universitas Indonesia
alumni-8921692aeae9,IPB University
alumni-89541d80f8fc,Institut Teknologi Bandung
alumni-896fac65e0d5,Universitas Brawijaya
alumni-89b9fa9ff7dd,University of North Sumatra
alumni-8a3734383a04,Universitas Gadjah Mada
alumni-8a424a0c0009,Indonesian Military Academy
alumni-8a8e94397a93,Brawijaya University
alumni-8ab60ee4f338,IPB University
alumni-8ad8745d8d98,Universitas Gadjah Mada
alumni-8b1335ae4829,Institut Pertanian Bogor
alumni-8b23630fccc7,Indonesian Military Academy
alumni-8b312417caf6,Sam Ratulangi University
alumni-8bc1db4419fd,IPB University
alumni-8be2f2370687,Universitas Gadjah Mada
alumni-8c7f5993e1ba,Universitas Gadjah Mada
alumni-8caf016c2adc,Universitas Gadjah Mada
alumni-8d042cde967b,Diponegoro University
alumni-8d11dcfe7d4c,Tarumanagara University
alumni-8d4c9f1fbf30,Universitas Diponegoro
alumni-8d613f3fa060,Indonesian Air Force Academy
alumni-8ea44258ce09,Institut Teknologi Bandung
alumni-8ef52ac6fdb3,Institut Teknologi Bandung
alumni-8fc6f4c23b89,Universitas Brawijaya
alumni-8fcd465d9850,Universitas Gadjah Mada
alumni-90032da23fa3,Institut Teknologi Bandung
alumni-90670599897a,Indonesian Military Academy
alumni-906f15a273da,Universitas Gadjah Mada
alumni-90ccc6723d10,BINUS University
alumni-90d0395b772f,Universitas Gadjah Mada
alumni-90d14e916de3,Diponegoro University
alumni-90fa679368f5,Indonesian Military Academy
alumni-9188d1f0bb76,Atma Jaya Catholic University of Indonesia
alumni-930998385c3b,Hasanuddin University
alumni-9424dea9b7ae,Universitas Indonesia
alumni-948af3aa4460,Institut Teknologi Bandung
alumni-94e5f6b85aa6,State University of Malang
alumni-957d4d5e54aa,Airlangga University
alumni-95edb628aee3,Indonesian Military Academy
alumni-9643f865b03f,Airlangga University
alumni-964f6b1a0d3a,IPB University
alumni-967d6b70ebf0,Mulawarman University
alumni-9683c2cfed4a,Institut Teknologi Bandung
alumni-96bcc35eff14,Universitas Indonesia
alumni-97a3ef13ce10,Indonesian Military Academy
alumni-97af5c138580,University of Surabaya
alumni-9804c079fb5e,IPB University
alumni-98c3872ad4f4,Syarif Hidayatullah State Islamic University Jakarta
alumni-98ee4487615a,Universitas Gadjah Mada
alumni-991f305cba46,Universitas Teknologi Digital Indonesia
alumni-99c7ea49c64f,Atma Jaya Catholic University of Indonesia
alumni-9a45321c8f6f,Syiah Kuala University
alumni-9ba0abad0aaa,Indonesian Military Academy
alumni-9bd52ddb5c79,Pancasila University
alumni-9d2203aa2be2,Brawijaya University
alumni-9dc05e4b4fb6,Universitas Airlangga
alumni-9dd210896ac2,Atma Jaya Catholic University of Indonesia
alumni-9e0dd9f149ce,Indonesian Military Academy
alumni-9e16b63548d8,Brawijaya University
alumni-9e1be8edf72a,Universitas Gadjah Mada
alumni-9e512b35f143,University of National Education
alumni-9e88f651b870,Universitas Hasanuddin
alumni-9eabffb4fa40,Pancasila University
alumni-9eb23fb4e2b7,IPB University
alumni-9ee3874f30d1,Parahyangan Catholic University
alumni-9f0e7beb9d30,Institut Teknologi Bandung
alumni-a0387ea162a5,Institut Teknologi Bandung
alumni-a075508ceb4d,Universitas Medan Area
alumni-a0fc6e44a647,Hasanuddin University
alumni-a1c8bb898665,University of North Sumatra
alumni-a1f3468610db,Indonesian Military Academy
alumni-a2490b1da4e3,Universitas Gadjah Mada
alumni-a2ed2ca079ae,Universitas Gadjah Mada
alumni-a2f2d64906bc,Indonesia Institute of the Arts Yogyakarta
alumni-a3b7a0a3e1b7,Sriwijaya University
alumni-a4620a16678d,Indonesia Open University
alumni-a5b1c62aaf44,Institut Teknologi Bandung
alumni-a61783281bb2,Lampung University
alumni-a657f35e1873,Institut Teknologi Bandung
alumni-a67e0e7a0858,Universitas Gadjah Mada
alumni-a6ad9ac7bee5,Multimedia Nusantara University
alumni-a75dab7b5750,Tarumanagara University
alumni-a7a7c8e40fdb,Institut Teknologi Bandung
alumni-a82ad79f2502,Institut Teknologi Bandung
alumni-a87ff9eca408,Airlangga University
alumni-a8a3e5b725da,Andalas University
alumni-a8c1d7fa5e76,University of Jember
alumni-a90ee5bebe95,University of North Sumatra
alumni-a9838c80fc33,Parahyangan Catholic University
alumni-a9c4ffa0de7b,Institut Pertanian Bogor
alumni-a9d93ad52e30,Mulawarman University
alumni-a9f504dd1688,Institut Teknologi Bandung
alumni-aa36ea120821,BINUS University
alumni-aa689bc31945,IPB University
alumni-ab974104fd0b,National University (Indonesia)
alumni-ac858a6b6f5e,Brawijaya University
alumni-acca4a06e3e2,Institut Teknologi Sepuluh Nopember
alumni-ad2011d225af,Universitas Padjadjaran
alumni-ad3d7877beb1,Bandung Islamic University
alumni-ae2d57188074,Mulawarman University
alumni-ae2f8bcae6d5,Brawijaya University
alumni-ae3445821170,Institut Teknologi Bandung
alumni-aecaf07c33ce,University of Riau
alumni-aecf4e69ac06,Universitas Pancasila
alumni-af6762090b2a,Universitas Gadjah Mada
alumni-af81e5462352,Mulawarman University
alumni-afbdeb496b87,Institut Teknologi Bandung
alumni-b0072ff1d0ff,State University of Malang
alumni-b00bab66d7a7,Airlangga University
alumni-b0378c9884ed,Sriwijaya University
alumni-b06105b6e01b,Diponegoro University
alumni-b0aaef12fc93,Universitas Gadjah Mada
alumni-b12dd490bf22,Atma Jaya Catholic University of Indonesia
alumni-b1c4345b5d4a,Warmadewa University
alumni-b1c6a4cc0770,Institut Teknologi Bandung
alumni-b1d4501a5f32,Indonesian Naval Academy
alumni-b2c35c25289b,Institut Teknologi Sepuluh Nopember
alumni-b301c38aff73,Syiah Kuala University
alumni-b30fb17bd55c,Mercu Buana University
alumni-b35cfd5ac9ae,Universitas Airlangga
alumni-b37d8af8483a,Universitas Gadjah Mada
alumni-b418f7d5edd8,Alauddin Islamic State University
alumni-b4b539d6bda5,Sebelas Maret University
alumni-b50ef5d900fa,Indonesia University of Education
alumni-b524f949f6a5,State University of Malang
alumni-b551cd8f85a0,Institut Teknologi Bandung
alumni-b5d5062e8b70,Institut Teknologi Bandung
alumni-b62fa4fb4bcf,Udayana University
alumni-b696c416e8b9,Mercu Buana University
alumni-b6a79203d03e,Syarif Hidayatullah State Islamic University Jakarta
alumni-b72c8c9b9a9c,Universitas Gadjah Mada
alumni-b76faf3120a1,Hasanuddin University
alumni-b7c33f1a4a88,Universitas Gadjah Mada
alumni-b82e97b15e83,Brawijaya University
alumni-b833a3ca43dd,Universitas Gadjah Mada
alumni-b83e5abf0795,Universitas Negeri Yogyakarta
alumni-b8541d8c6e68,Institut Teknologi Bandung
alumni-b861dc40f7a1,Indonesian Military Academy
alumni-b8af062e3aa7,IPB University
alumni-b8b3b630ad6b,Institut Teknologi Bandung
alumni-b8bcef9f8338,Universitas Gadjah Mada
alumni-b8f2e7da7c39,Institut Teknologi Bandung
alumni-b946f78d8692,Universitas Islam Negeri Sunan Gunung Djati Bandung
alumni-b95f9419d32b,Universitas Negeri Padang
alumni-b97405dc7019,Parahyangan Catholic University
alumni-b9c423e6d66f,Trisakti University
alumni-b9fabf0a15be,Universitas Indonesia
alumni-ba51c9cfa1b6,Universitas Gadjah Mada
alumni-ba855c60f126,Universitas Gadjah Mada
alumni-ba9de80e77b8,Institut Teknologi Bandung
alumni-bb2cbaa85323,Institut Teknologi Bandung
alumni-bb9e3c1a386a,Universitas Gadjah Mada
alumni-bbb469f9f9ee,Universitas Andalas
alumni-bbc1fe97cb24,Trisakti University
alumni-bbd780ca73cf,Trisakti University
alumni-bd44e61b1b2b,University of North Sumatra
alumni-bdf3eae09e4b,Universitas Gadjah Mada
alumni-be0c27831129,Universitas Gadjah Mada
alumni-be15aaa425e1,Parahyangan Catholic University
alumni-be673ebd0a8a,Universitas Indonesia
alumni-beacabd37c90,Udayana University
alumni-bf4b4ac6844a,IPB University
alumni-bf52d137b1c2,Indonesian Military Academy
