alumniId,employerName
alumni-4b360b7d2eee,Andrew Young School of Policy Studies
alumni-4b360b7d2eee,Grup Bank Dunia
alumni-4b360b7d2eee,Kabinet Indonesia Bersatu II
alumni-4b360b7d2eee,USAID
alumni-4b360b7d2eee,Universitas Indonesia
alumni-4b708c13c8a0,Marine Affairs And Fisheries
alumni-4d20bd81006f,Indonesia
alumni-4e2395cd8e69,Kementerian Komunikasi dan Digital
alumni-4fe05587c883,Kementerian Luar Negeri
alumni-5038bcac7dd7,Universitas Indonesia
alumni-50a203d9a42e,Army Strategic Reserve Command
alumni-50a203d9a42e,Defense (Indonesia)
alumni-50a203d9a42e,Gerindra Party
alumni-50a203d9a42e,Indonesia
alumni-519482c7beb2,Indonesian National Armed Forces
alumni-530855e97407,Universitas Indonesia
alumni-54cc58610ca2,SIG (Perusahaan)
alumni-54cc58610ca2,Semen Padang
alumni-55c1543f62f1,Universitas Indonesia
alumni-563751bc1afd,Cenderawasih University
alumni-5682d1c63a5a,Universitas Andalas
alumni-5682d1c63a5a,Universitas Baiturrahmah
alumni-583fa6992dcf,Mahkamah Konstitusi Republik Indonesia
alumni-583fa6992dcf,Universitas Indonesia
alumni-5909f0fabfd5,Institut Teknologi Bandung
alumni-5a166138daa0,Indonesian National Armed Forces
alumni-5a166138daa0,Staff Of The Indonesian Army
alumni-5a6dab7870f6,Universitas Indonesia
alumni-5afbc612f65d,Kementerian Keuangan
alumni-5dfe3bcdfeda,Kepolisian Negara Republik Indonesia
alumni-5e3a66c38ce3,Institut Sains dan Teknologi Nasional
alumni-5e3a66c38ce3,Pemerintah Provinsi Daerah Khusus Ibukota Jakarta
alumni-6072b8d47317,Indonesia
alumni-612da7e62afb,Haburas
alumni-613d6b2bd991,Institut Teknologi Bandung
alumni-613d6b2bd991,Institut Teknologi Tangerang Selatan
alumni-677bb66c6250,Home Affairs (Indonesia)
alumni-677bb66c6250,West Sumatra Governance
alumni-6973bc228282,House Of Representatives (Indonesia)
alumni-6973bc228282,People'S Consultative Assembly
alumni-6abfbd995d8c,Institut Teknologi Bandung
alumni-6b2283119dec,Bali Governance
alumni-6cef4c0fa226,Dewan Perwakilan Rakyat Daerah Kota Padang
alumni-6d2b2c4afd8f,General Staff Of The Indonesian National Armed Forces
alumni-6d2b2c4afd8f,Indonesian National Armed Forces Staff And Command School
alumni-6d2b2c4afd8f,Staff Of The Indonesian Navy
alumni-6e04bf722b01,Indonesia
alumni-6fa17fe853ae,Bali Governance
alumni-6fca27732fd5,Universitas Adzkia
alumni-6fca27732fd5,Universitas Andalas
alumni-6fca27732fd5,Universitas Muhammadiyah Jakarta
alumni-707c31dfd809,Kementerian Luar Negeri
alumni-7219889d1bbd,Institut Teknologi Bandung
alumni-7338650d6c20,Institut Teknologi Bandung
alumni-7338650d6c20,Kementerian Riset dan Teknologi Indonesia
alumni-73443a68de90,Universitas Andalas
alumni-73443a68de90,Universitas Baiturrahmah
alumni-74490dd774b0,Institut Teknologi Bandung
alumni-74efe376407a,Universitas Andalas
alumni-755e1d809871,Gorontalo Governance
alumni-755e1d809871,Maritime Affairs And Fisheries
alumni-75dfa25662a5,Universitas Andalas
alumni-75ee6316de59,Universitas Islam Negeri Syarif Hidayatullah Jakarta
alumni-77df7da3a911,Universitas Syiah Kuala
alumni-792ff3f54219,Jakarta Governance
alumni-7c261c6e1d40,Indonesia To Belgium
alumni-7e4f412b1131,Universitas Andalas
alumni-7e4f412b1131,Universitas Baiturrahmah
alumni-827c5e85cc13,Corruption Eradication Commission
alumni-843293c26d6f,Universitas Indonesia
alumni-84959788b4fd,Kementerian Luar Negeri
alumni-84e79951619d,Institut Teknologi Bandung
alumni-8510f2023099,Pssi
alumni-85fd64312ded,Staff Of Indonesian Air Force
alumni-8612014e915d,Institut Teknologi Bandung
alumni-88f8e640fec9,Kementerian Riset dan Teknologi Indonesia
alumni-88f8e640fec9,Universitas Indonesia
alumni-896fac65e0d5,Kementerian Keuangan
alumni-8ad8745d8d98,Badan Amil Zakat Nasional
alumni-8ad8745d8d98,Universitas Gadjah Mada
alumni-8b1335ae4829,Kompas
alumni-8b23630fccc7,Indonesian Armed Forces
alumni-8b23630fccc7,Staff Of Indonesian Army
alumni-8d4c9f1fbf30,Mahkamah Konstitusi Republik Indonesia
alumni-8d4c9f1fbf30,Universitas Diponegoro
alumni-8d613f3fa060,Indonesian National Armed Forces
alumni-8d613f3fa060,Staff Of The Indonesian Air Force
alumni-8fc6f4c23b89,Universitas Negeri Semarang
alumni-90032da23fa3,Global Digital Niaga
alumni-90032da23fa3,"Higher Education, Science And Technology"
alumni-90032da23fa3,"Higher Education, Science, And Technology"
alumni-90032da23fa3,Institut Teknologi Bandung
alumni-90d0395b772f,Presidential Advisory Council
alumni-90d14e916de3,Home Affairs (Indonesia)
alumni-90d14e916de3,Indonesian Democratic Party Of Struggle
alumni-90d14e916de3,State Apparatus Utilization And Bureaucratic Reform
alumni-9424dea9b7ae,Universitas Indonesia
alumni-94e5f6b85aa6,"East Kalimantan, Indonesia Governance"
alumni-94e5f6b85aa6,"East Kutai, Indonesia"
alumni-95edb628aee3,Defense (Indonesia)
alumni-95edb628aee3,Indonesian Football Association
alumni-95edb628aee3,National Sports Committee Of Indonesia
alumni-95edb628aee3,Transportation (Indonesia)
alumni-9643f865b03f,Indonesia To The United Kingdom
alumni-9683c2cfed4a,Asuransi Jasa Indonesia
alumni-9683c2cfed4a,Fakultas Ekonomi dan Bisnis Universitas Indonesia
alumni-9683c2cfed4a,Indofood
alumni-9683c2cfed4a,MedcoEnergi
alumni-9683c2cfed4a,PT Indoritel Makmur Internasional Tbk
alumni-9683c2cfed4a,Unilever Indonesia
alumni-96bcc35eff14,Kementerian Luar Negeri
alumni-991f305cba46,Jurnal Penelitian
alumni-991f305cba46,Whitecyber
alumni-9d2203aa2be2,Football Association Of Indonesia
alumni-9dc05e4b4fb6,Mahkamah Konstitusi Republik Indonesia
alumni-9dc05e4b4fb6,Universitas Diponegoro
alumni-9e88f651b870,Kementerian Luar Negeri
alumni-a075508ceb4d,Pemerintah Kota Binjai
alumni-a1f3468610db,Badminton Association Of Indonesia
alumni-a1f3468610db,Indonesian Justice And Unity Party
alumni-a1f3468610db,Jakarta Governance
alumni-a1f3468610db,Jayakarta Military Command
alumni-a1f3468610db,State Intelligence Agency
alumni-a2490b1da4e3,Kementerian Riset dan Teknologi Indonesia
alumni-a4620a16678d,Football Association Of Indonesia
alumni-a4620a16678d,Indonesia
alumni-a5b1c62aaf44,Institut Teknologi Bandung
alumni-a82ad79f2502,Universitas Muhammadiyah Surabaya
alumni-a87ff9eca408,Cenderawasih University
alumni-a8a3e5b725da,Home Affairs (Indonesia)
alumni-a8a3e5b725da,West Sumatra Governance
alumni-a9c4ffa0de7b,Badan Gizi Nasional
alumni-a9f504dd1688,Institut Teknologi Bandung
alumni-aa689bc31945,Indonesia To Singapore
alumni-ad2011d225af,Universitas Indonesia
alumni-aecf4e69ac06,Kejaksaan Indonesia
alumni-afbdeb496b87,Institut Teknologi Bandung
alumni-b0aaef12fc93,Economics
alumni-b301c38aff73,Aceh
alumni-b301c38aff73,Aceh Governance
alumni-b301c38aff73,State Apparatus Utilization And Bureaucratic Reform
alumni-b35cfd5ac9ae,Kementerian Riset dan Teknologi Indonesia
alumni-b35cfd5ac9ae,Universitas Negeri Yogyakarta
alumni-b82e97b15e83,Cenderawasih University
alumni-b83e5abf0795,Kementerian Riset dan Teknologi Indonesia
alumni-b83e5abf0795,Universitas Negeri Yogyakarta
alumni-b8541d8c6e68,Institut Teknologi Bandung
alumni-b8b3b630ad6b,Institut Teknologi Bandung
alumni-b946f78d8692,Majelis Ulama Indonesia
alumni-b946f78d8692,Persatuan Islam
alumni-b946f78d8692,STID Mohammad Natsir Bekasi
alumni-b946f78d8692,Sekolah Tinggi Agama Islam Persatuan Islam Jakarta
alumni-b95f9419d32b,Kementerian Riset dan Teknologi Indonesia
alumni-b9fabf0a15be,Kementerian Keuangan
alumni-b9fabf0a15be,Universitas Indonesia
alumni-ba9de80e77b8,Universitas Negeri Padang
alumni-bb2cbaa85323,Institut Teknologi Bandung
alumni-bbb469f9f9ee,Kementerian Riset dan Teknologi Indonesia
alumni-bbd780ca73cf,Indonesia
alumni-bbd780ca73cf,Social Affairs (Indonesia)
alumni-be673ebd0a8a,Indonesia
alumni-be673ebd0a8a,foreign affairs ministry
alumni-c1f40f6d514f,Universitas Muhammadiyah Surabaya
alumni-c2a6a512739c,Institut Teknologi Bandung
alumni-c3c9f5462a5b,Indonesia
alumni-c3c9f5462a5b,Indonesian National Armed Forces
alumni-c3c9f5462a5b,Staff Of The Indonesian Army
alumni-c5efc3477d07,LBH APIK Aceh
alumni-c5f05b6d63c0,Staff
alumni-c6f9134dcfac,Institut Teknologi Bandung
alumni-c7d0ebc0cc7d,Kepolisian Negara Republik Indonesia
alumni-c83e90ad9df8,Universitas Surabaya
alumni-c9d69ca3f66a,Bukit Barisan
alumni-c9d69ca3f66a,Chief Of Staff Of The Indonesian Army
alumni-c9d69ca3f66a,Indonesian Army
alumni-c9d69ca3f66a,Kodam I
alumni-c9d69ca3f66a,Kodam Iskandar Muda
alumni-c9d69ca3f66a,North Sumatra Governance
alumni-c9e82fd4f471,Tempo
alumni-ca8c4caeb4e8,Badan Pengawasan Keuangan dan Pembangunan
alumni-cab7b13890bb,Asean
alumni-cab7b13890bb,Suharto'S Search For A Political Format And The Role Which Dharsono Played In It
alumni-cac3980fc5bd,Defense (Indonesia)
alumni-cac3980fc5bd,Energy And Mineral Resources
alumni-cac3980fc5bd,Institut Teknologi Bandung
alumni-cac3980fc5bd,Opec
alumni-cb41f8d462ec,Institut Teknologi Bandung
alumni-cbc19d45af97,Q114913113
alumni-cbc19d45af97,Universitas Negeri Malang
alumni-cdd01e9589d7,Goethe-Institut Jakarta
alumni-cdd01e9589d7,Wikimedia ESEAP Hub
alumni-cdd01e9589d7,Wikimedia Indonesia
alumni-ceb6a4e35f82,Goto
alumni-ceb6a4e35f82,Tokopedia
alumni-cfbc50783b40,Pemerintahan Kota Surabaya
alumni-d090b06d7604,Institut Teknologi Bandung
alumni-d137e73d8960,Marine Affairs And Fisheries
alumni-d1866cc8e8a2,Institut Teknologi Bandung
alumni-d1e581296ff2,Foreign Affairs
alumni-d20dc8f6cefd,Kementerian Pelindungan Pekerja Migran Indonesia
alumni-d21a7700cb89,Public Works
alumni-d397624b65c0,Kementerian Riset dan Teknologi Indonesia
alumni-d397624b65c0,Universitas Pendidikan Indonesia
alumni-d437340fdcd9,Kementerian Riset dan Teknologi Indonesia
alumni-d437340fdcd9,Universitas Indonesia
alumni-d4565e639e68,Universitas Muhammadiyah Surabaya
alumni-d45e3c3e7954,Universitas Andalas
alumni-d45e3c3e7954,Universitas Bung Hatta
alumni-d46922f146a1,Juara Holding Group
alumni-d57ec60a253a,Universitas Indonesia
alumni-d57ec60a253a,Universitas Padjadjaran
alumni-d72629d6500d,Universitas Negeri Jakarta
alumni-d8d085d7484a,Universitas Andalas
alumni-d94a874395bc,Institut Teknologi Bandung
alumni-d97153f6e050,Indonesia
alumni-dc483a9939d8,Indonesian Armed Forces
alumni-dc483a9939d8,Infantry Division 1
alumni-dc483a9939d8,Kostrad
alumni-dc483a9939d8,Military Area Command Iii
alumni-dc483a9939d8,Military Area Command Xii
alumni-dc483a9939d8,Siliwangi
alumni-dc483a9939d8,Staff
alumni-dc483a9939d8,Tanjungpura
alumni-dd6a147d343f,Kementerian Keuangan
alumni-dd77ce54fc89,Universitas Islam Negeri Sjech M. Djamil Djambek Bukittinggi
alumni-ded2fdf05202,Institut Teknologi Bandung
alumni-e2468e9a404e,Pssi
alumni-e26a490c67f2,Dana Anak-anak Perserikatan Bangsa-Bangsa
alumni-e28d3faf9988,Doughty Street Chambers
alumni-e3c6419fb334,Kementerian Luar Negeri
alumni-e494e3b9cf4b,Universitas Gadjah Mada
alumni-e76c11b4f57f,Universitas Surabaya
alumni-e78432095b66,Institut Teknologi Bandung
alumni-e94a6db4f835,Democratic Party Banten Branch
alumni-e94a6db4f835,Lebak
alumni-e9e7fc817f24,Bali Governance
alumni-ef3e4f3d617c,East Timor
alumni-ef3e4f3d617c,Timor-Leste
alumni-ef91e50be813,Universitas Gadjah Mada
alumni-ef9cbc0c5362,Universitas Islam Negeri Syarif Hidayatullah Jakarta
alumni-f20f8f1f4e72,Pssi
alumni-f3860930d2b9,Universitas Columbia
alumni-f3860930d2b9,Universitas Indonesia
alumni-f53ee9cdfe3d,State Secretariat
alumni-f55cf27f4f5c,Foreign Affairs (Indonesia)
alumni-f55cf27f4f5c,Indonesia To Australia
alumni-f55cf27f4f5c,Indonesia To The United States
alumni-f55cf27f4f5c,The
alumni-f5fbe0fc78dd,Asean
alumni-f5fbe0fc78dd,Group Of 20
alumni-f5fbe0fc78dd,Indonesia
alumni-f5fbe0fc78dd,Jakarta Governance
alumni-f5fbe0fc78dd,Struggle
alumni-f5fbe0fc78dd,Surakarta
alumni-f8f7aae5e898,Bukit Barisan
alumni-f8f7aae5e898,Chief Of Staff Of The Indonesian Army
alumni-f8f7aae5e898,Indonesian Army
alumni-f8f7aae5e898,Kodam I
alumni-f8f7aae5e898,Kodam Iskandar Muda
alumni-f8f7aae5e898,North Sumatra Governance
alumni-f987b873f505,Badan Intelijen Negara
alumni-f9ea926e1f4e,Kementerian Luar Negeri
alumni-faf7c0be1a74,Universitas Islam Negeri Syarif Hidayatullah Jakarta
alumni-fb15673ba669,Nu
alumni-fb7c09c68dd3,Universitas Andalas
alumni-fc1d97f9c349,Kementerian Luar Negeri
alumni-fc1d97f9c349,Perserikatan Bangsa-Bangsa
alumni-fde1dd9256eb,Women Empowerment And Child Protection
alumni-ff5d6c2946d7,Kementerian Luar Negeri
alumni-ff7530948a6c,Cenderawasih University
